*opuštěná slova končící na 'á'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Bambásková	Bambásek
chybí hrana	Bandaová	Banda
chybí hrana	Bandiová	Bandi
chybí hrana	Banerdžíová	Banerdží
chybí hrana	Banfieldová	Banfield
chybí hrana	Bangová	Bang
chybí hrana	Banková	Bank
chybí hrana	Banonová	Banon
chybí hrana	Banyaová	Banya
chybí hrana	Banyová	Bany
chybí hrana	Banyáková	Banyák
chybí hrana	Baníková	Baník
chybí hrana	Baptisteová	Baptiste
chybí hrana	Baptistová	Baptist
chybí hrana	Barancová	Baranec
chybí hrana	Baraová	Bara
chybí hrana	Baravoková	Baravok
chybí hrana	Barbořáková	Barbořák
chybí hrana	Barchánková	Barchánek
chybí hrana	Barcuchová	Barcuch
chybí hrana	Bardetová	Bardet
chybí hrana	Baretová	baret
chybí hrana	Barkociová	Barkoci
chybí hrana	Barkovová	Barkov
chybí hrana	Barkóciová	Barkóci
chybí hrana	Barlettová	Barletta
chybí hrana	Barlogová	Barlog
chybí hrana	Barlová	Barla
chybí hrana	Barmošová	Barmoš
chybí hrana	Barnabyová	Barnaby
chybí hrana	Barnatová	Barnat
chybí hrana	Barnettová	Barnett
chybí hrana	Barnošáková	Barnošák
chybí hrana	Barnátová	Barnát
chybí hrana	Barníková	Barník
chybí hrana	Baroneová	Barone
chybí hrana	Barosová	Baros
chybí hrana	Barracloughová	Barraclough
chybí hrana	Barreová	Barre
chybí hrana	Barretová	Barret
chybí hrana	Barrichellová	Barrichell
chybí hrana	Barringerová	Barringer
chybí hrana	Barringtonová	Barrington
chybí hrana	Barrowová	Barrow
chybí hrana	Barréová	Barré
chybí hrana	Barshefskyová	Barshefsky
chybí hrana	Barsová	Bars
chybí hrana	Barsukovová	Barsukov
chybí hrana	Barsuková	Barsuk
chybí hrana	Barszczová	Barszcz
chybí hrana	Bartakovicsová	Bartakovics
chybí hrana	Bartakovičová	Bartakovič
chybí hrana	Bartalovičová	Bartalovič
chybí hrana	Bartalová	Bartal
chybí hrana	Bartalošová	Bartaloš
chybí hrana	Bartejsová	Bartejs
chybí hrana	Bartelmusová	Bartelmus
chybí hrana	Bartelová	Bartel
chybí hrana	Bartelsová	Bartels
chybí hrana	Bartesová	Bartes
