*slova rodu ženského končící na 'ice', která jsou bez rodiče
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	šlehanice	šlehat
chybí hrana	štěnice	štět
chybí hrana	švestkovice	švestka
chybí hrana	šťouchanice	šťouchat
chybí hrana	žežhulice	žežhule
chybí hrana	židovice	žid
chybí hrana	žlábkovnice	žlábek
chybí hrana	žmolkovice	žmolka
chybí hrana	žvatlanice	žvatlat
chybí hrana	žvástanice	žvástat
*
*nenalezen předek
chybí hrana	admonice
chybí hrana	adpozice
chybí hrana	akvizice
chybí hrana	alfačástice
chybí hrana	antepozice
chybí hrana	apozice
chybí hrana	autodefinice
chybí hrana	autolednice
chybí hrana	bipartice
chybí hrana	blankotradice
chybí hrana	bosančice
chybí hrana	božnice
chybí hrana	buldočice
chybí hrana	chlebnice
chybí hrana	denutrice
chybí hrana	desetiveslice
chybí hrana	devítice
chybí hrana	devítikoalice
chybí hrana	devětaosmdesátnice
chybí hrana	devětasedmdesátnice
chybí hrana	diskotradice
chybí hrana	dotažnice
chybí hrana	dvaadevadesátnice
chybí hrana	dvaapadesátnice
chybí hrana	dvacetiveslice
chybí hrana	dvojice
chybí hrana	dvoušroubovnice
chybí hrana	elektrostanice
chybí hrana	exhibice
chybí hrana	fotopohlednice
chybí hrana	glagolice
chybí hrana	hruštice
chybí hrana	hurtovnice
chybí hrana	jadernice
chybí hrana	jednice
chybí hrana	jednoveslice
chybí hrana	jirnice
chybí hrana	juxtapozice
chybí hrana	kapinice
chybí hrana	klučice
chybí hrana	koakvizice
chybí hrana	kontramatice
chybí hrana	kryptokoalice
chybí hrana	kvazičástice
chybí hrana	lichořeřišnice
chybí hrana	magnetotelurice
chybí hrana	maltnice
chybí hrana	meteostanice
chybí hrana	měděnice
chybí hrana	nanotrubice
chybí hrana	nanočástice
chybí hrana	ochrustavice
chybí hrana	odbočnice
chybí hrana	okatice
chybí hrana	omrzlice
chybí hrana	opačnice
chybí hrana	opornice
chybí hrana	orebice
chybí hrana	osmiveslice
chybí hrana	padesátiveslice
chybí hrana	paraexhibice
chybí hrana	pavoučnice
chybí hrana	pemrlice
chybí hrana	perkvizice
chybí hrana	pilnice
chybí hrana	plastomatrice
chybí hrana	plexitrubice
chybí hrana	plynostanice
chybí hrana	podplamenice
chybí hrana	povětrnice
chybí hrana	prejudice
chybí hrana	prohibice
chybí hrana	prokolice
chybí hrana	protikoalice
chybí hrana	protipetice
chybí hrana	prčice
chybí hrana	píšťalnice
chybí hrana	půdice
chybí hrana	půlkružnice
chybí hrana	raketnice
chybí hrana	repartice
chybí hrana	retozubnice
chybí hrana	rychlokoalice
chybí hrana	rychlosilnice
chybí hrana	sedmikoalice
chybí hrana	sestřenice
chybí hrana	sinice
chybí hrana	skasálnice
chybí hrana	skoblice
chybí hrana	skorodálnice
chybí hrana	skorosoukromnice
chybí hrana	slepenice
chybí hrana	smonice
chybí hrana	spavice
chybí hrana	stereomatrice
chybí hrana	strdlice
chybí hrana	subrepartice
chybí hrana	trojice
chybí hrana	turboproudnice
chybí hrana	tížnice
chybí hrana	třetice
chybí hrana	vaječnice
chybí hrana	vlaštovice
chybí hrana	vlásnice
chybí hrana	volovice
chybí hrana	vrabečnice
chybí hrana	vrhlice
chybí hrana	vyběhlice
chybí hrana	vykvetlice
chybí hrana	vážnice
chybí hrana	výtažnice
chybí hrana	vějice
chybí hrana	věstice
chybí hrana	zanice
chybí hrana	zapalice
chybí hrana	zděnice
chybí hrana	zpovědlnice
chybí hrana	zvolice
chybí hrana	zárnice
chybí hrana	zátkovnice
chybí hrana	úběžnice
chybí hrana	úhrabečnice
chybí hrana	úpatnice
chybí hrana	člověčice
chybí hrana	čmachtanice
chybí hrana	čočice
chybí hrana	říčice
chybí hrana	škornice
chybí hrana	šošovice
chybí hrana	žhavice
chybí hrana	žinčice
chybí hrana	žitnice
chybí hrana	žolice
