*slova končící na 'izmus' bez rodiče
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	eskapizmus	eskapismus
chybí hrana	etatizmus	etatismus
chybí hrana	etylizmus	etylismus
chybí hrana	eudaimonizmus	eudaimonismus
chybí hrana	eufemizmus	eufemismus
chybí hrana	euphuizmus	euphuismus
chybí hrana	eurocentrizmus	eurocentrismus
chybí hrana	eurofederalizmus	eurofederalismus
chybí hrana	eurokomunizmus	eurokomunismus
chybí hrana	eurooptimizmus	eurooptimismus
chybí hrana	europesimizmus	europesimismus
chybí hrana	europragmatizmus	europragmatismus
chybí hrana	europrotekcionizmus	europrotekcionismus
chybí hrana	eurorealizmus	eurorealismus
chybí hrana	evangelikalizmus	evangelikalismus
chybí hrana	evropeizmus	evropeismus
chybí hrana	evropocentrizmus	evropocentrismus
chybí hrana	exkluzivizmus	exkluzivismus
chybí hrana	exorcizmus	exorcismus
chybí hrana	experimentalizmus	experimentalismus
chybí hrana	explozionalizmus	explozionalismus
chybí hrana	expresivizmus	expresivismus
chybí hrana	externizmus	externismus
chybí hrana	falzifikacionizmus	falzifikacionismus
chybí hrana	faraonizmus	faraonismus
chybí hrana	fauvizmus	fauvismus
chybí hrana	fašizmus	fašismus
chybí hrana	federalizmus	federalismus
chybí hrana	fedonizmus	fedonismus
chybí hrana	feminizmus	feminismus
chybí hrana	fenomenalizmus	fenomenalismus
chybí hrana	feromagnetizmus	feromagnetismus
chybí hrana	fetišizmus	fetišismus
chybí hrana	fideizmus	fideismus
chybí hrana	filosemitizmus	filosemitismus
chybí hrana	flagelantizmus	flagelantismus
chybí hrana	fotorealizmus	fotorealismus
chybí hrana	frankocentrizmus	frankocentrismus
chybí hrana	funkcionalizmus	funkcionalismus
chybí hrana	fyziokratizmus	fyziokratismus
chybí hrana	fénicizmus	fénicismus
chybí hrana	galicizmus	galicismus
chybí hrana	galikanizmus	galikanismus
chybí hrana	galvanizmus	galvanismus
chybí hrana	galvanotropizmus	galvanotropismus
chybí hrana	gangsterizmus	gangsterismus
chybí hrana	garveyizmus	garveyismus
chybí hrana	gaullizmus	gaullismus
chybí hrana	genscherizmus	genscherismus
chybí hrana	geocentrizmus	geocentrismus
chybí hrana	geomagnetizmus	geomagnetismus
chybí hrana	geotropizmus	geotropismus
chybí hrana	gestaltizmus	gestaltismus
chybí hrana	gestualizmus	gestualismus
chybí hrana	goldsteinizmus	goldsteinismus
chybí hrana	gonochorizmus	gonochorismus
chybí hrana	grafizmus	grafismus
chybí hrana	gynandromorfizmus	gynandromorfismus
chybí hrana	haptotropizmus	haptotropismus
chybí hrana	havlizmus	havlismus
chybí hrana	hebraizmus	hebraismus
chybí hrana	hegelianizmus	hegelianismus
chybí hrana	hegemonizmus	hegemonismus
chybí hrana	heliocentrizmus	heliocentrismus
chybí hrana	henoteizmus	henoteismus
chybí hrana	herbartizmus	herbartismus
chybí hrana	hermetizmus	hermetismus
chybí hrana	hinduizmus	hinduismus
chybí hrana	hitlerizmus	hitlerismus
chybí hrana	hlasizmus	hlasismus
chybí hrana	holizmus	holismus
chybí hrana	hominizmus	hominismus
chybí hrana	homoerotizmus	homoerotismus
chybí hrana	homomorfizmus	homomorfismus
chybí hrana	hondaizmus	hondaismus
chybí hrana	hotentotizmus	hotentotismus
chybí hrana	hujerizmus	hujerismus
chybí hrana	humanitizmus	humanitismus
chybí hrana	humanizmus	humanismus
chybí hrana	humorizmus	humorismus
chybí hrana	hungarizmus	hungarismus
chybí hrana	husitizmus	husitismus
chybí hrana	hydrotropizmus	hydrotropismus
chybí hrana	hyenizmus	hyenismus
chybí hrana	hyperkortikalizmus	hyperkortikalismus
chybí hrana	hypersenzitivizmus	hypersenzitivismus
chybí hrana	hypokortikalizmus	hypokortikalismus
chybí hrana	hypopituitarizmus	hypopituitarismus
chybí hrana	hyroidizmus	hyroidismus
chybí hrana	ibsenizmus	ibsenismus
chybí hrana	idealizmus	idealismus
chybí hrana	idylizmus	idylismus
chybí hrana	imagizmus	imagismus
chybí hrana	imanentizmus	imanentismus
chybí hrana	imažinizmus	imažinismus
chybí hrana	imperializmus	imperialismus
chybí hrana	independentizmus	independentismus
chybí hrana	indeterminizmus	indeterminismus
chybí hrana	indianizmus	indianismus
chybí hrana	indigenizmus	indigenismus
chybí hrana	individualizmus	individualismus
chybí hrana	inkubizmus	inkubismus
chybí hrana	instinktivizmus	instinktivismus
chybí hrana	instrumentalizmus	instrumentalismus
chybí hrana	integralizmus	integralismus
chybí hrana	intervencionizmus	intervencionismus
chybí hrana	intimizmus	intimismus
chybí hrana	intuicionizmus	intuicionismus
chybí hrana	intuitivizmus	intuitivismus
chybí hrana	iredentizmus	iredentismus
chybí hrana	irénizmus	irénismus
chybí hrana	italianizmus	italianismus
chybí hrana	izmus	ismus
chybí hrana	izolacionalizmus	izolacionalismus
chybí hrana	izolacionizmus	izolacionismus
chybí hrana	jansenizmus	jansenismus
chybí hrana	jezuitizmus	jezuitismus
chybí hrana	judaizmus	judaismus
chybí hrana	jugoslavizmus	jugoslavismus
chybí hrana	kapitalizmus	kapitalismus
chybí hrana	karambolizmus	karambolismus
chybí hrana	kartenianizmus	kartenianismus
chybí hrana	kartezianizmus	kartezianismus
chybí hrana	katabolizmus	katabolismus
chybí hrana	katastrofizmus	katastrofismus
chybí hrana	katechizmus	katechismus
chybí hrana	katenoteizmus	katenoteismus
chybí hrana	keynesizmus	keynesismus
chybí hrana	kimbanguizmus	kimbanguismus
chybí hrana	kinetizmus	kinetismus
chybí hrana	kladizmus	kladismus
chybí hrana	klarizmus	klarismus
chybí hrana	klerofašizmus	klerofašismus
chybí hrana	kodaňocentrizmus	kodaňocentrismus
chybí hrana	kofeinizmus	kofeinismus
chybí hrana	kolonizmus	kolonismus
chybí hrana	kolorizmus	kolorismus
chybí hrana	komenzalizmus	komenzalismus
chybí hrana	komercializmus	komercialismus
chybí hrana	komunalizmus	komunalismus
chybí hrana	konceptizmus	konceptismus
chybí hrana	konciliarizmus	konciliarismus
chybí hrana	kondicionalizmus	kondicionalismus
chybí hrana	konformizmus	konformismus
chybí hrana	kongregacionalizmus	kongregacionalismus
chybí hrana	konjukturalizmus	konjukturalismus
