*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	amortisovávanost	amortizovávanost
hrana	amortisovávaný	amortizovávaný
hrana	amortisovávaně	amortizovávaně
hrana	amortisovávat	amortizovávat
hrana	amortisovávatelnost	amortizovávatelnost
hrana	amortisovávatelný	amortizovávatelný
hrana	amortisovávatelně	amortizovávatelně
hrana	amortisovávání	amortizovávání
hrana	amortisující	amortizující
hrana	anabaptismus	anabaptizmus
hrana	anabolismus	anabolizmus
hrana	anachronismus	anachronizmus
hrana	anafrodisie	anafrodizie
hrana	analfabetismus	analfabetizmus
hrana	analgesie	analgezie
hrana	analysační	analyzační
hrana	analysovací	analyzovací
hrana	analysovanost	analyzovanost
hrana	analysovaný	analyzovaný
hrana	analysovaně	analyzovaně
hrana	analysovat	analyzovat
hrana	analysovatelnost	analyzovatelnost
hrana	analysovatelný	analyzovatelný
hrana	analysovatelně	analyzovatelně
hrana	analysování	analyzování
hrana	analysovávací	analyzovávací
hrana	analysovávající	analyzovávající
hrana	analysovávanost	analyzovávanost
hrana	analysovávaný	analyzovávaný
hrana	analysovávaně	analyzovávaně
hrana	analysovávat	analyzovávat
hrana	analysovávatelnost	analyzovávatelnost
hrana	analysovávatelný	analyzovávatelný
hrana	analysovávatelně	analyzovávatelně
hrana	analysovávání	analyzovávání
hrana	analysující	analyzující
hrana	analysátor	analyzátor
hrana	anankasmus	anankazmus
hrana	anarchismus	anarchizmus
hrana	anarchosyndikalismus	anarchosyndikalizmus
hrana	andalusit	andaluzit
hrana	anestesie	anestezie
hrana	aneurysma	aneuryzma
hrana	anexionismus	anexionizmus
hrana	angiotensin	angiotenzin
hrana	anglicismus	anglicizmus
hrana	anglikanismus	anglikanizmus
hrana	anglokatolicismus	anglokatolicizmus
hrana	angorismus	angorizmus
hrana	animatismus	animatizmus
hrana	animismus	animizmus
hrana	animosita	animozita
hrana	anisometropie	anizometropie
hrana	ankylosovací	ankylozovací
hrana	ankylosovanost	ankylozovanost
hrana	ankylosovaný	ankylozovaný
hrana	ankylosovaně	ankylozovaně
hrana	ankylosovat	ankylozovat
hrana	ankylosovatelnost	ankylozovatelnost
hrana	ankylosovatelný	ankylozovatelný
hrana	ankylosovatelně	ankylozovatelně
hrana	ankylosování	ankylozování
hrana	ankylosovávací	ankylozovávací
hrana	ankylosovávanost	ankylozovávanost
hrana	ankylosovávaný	ankylozovávaný
hrana	ankylosovávaně	ankylozovávaně
hrana	ankylosovávat	ankylozovávat
hrana	ankylosovávatelnost	ankylozovávatelnost
hrana	ankylosovávatelný	ankylozovávatelný
hrana	ankylosovávatelně	ankylozovávatelně
hrana	ankylosovávání	ankylozovávání
hrana	anorgasmie	anorgazmie
hrana	antagonismus	antagonizmus
hrana	antialkoholismus	antialkoholizmus
hrana	antiamerikanismus	antiamerikanizmus
hrana	antibolševismus	antibolševizmus
hrana	anticivilisační	anticivilizační
hrana	anticivilisačně	anticivilizačně
hrana	antidarwinismus	antidarwinizmus
hrana	antidemokratismus	antidemokratizmus
hrana	antidogmatismus	antidogmatizmus
hrana	antielitismus	antielitizmus
hrana	antiestetismus	antiestetizmus
hrana	antifašismus	antifašizmus
hrana	antifeminismus	antifeminizmus
hrana	antiferomagnetismus	antiferomagnetizmus
hrana	antigerontismus	antigerontizmus
hrana	antihistorismus	antihistorizmus
hrana	antihumanismus	antihumanizmus
hrana	antiimperialismus	antiimperializmus
hrana	antiinstitucionalismus	antiinstitucionalizmus
hrana	antiintelektualismus	antiintelektualizmus
hrana	antiislamismus	antiislamizmus
hrana	antijudaismus	antijudaizmus
hrana	antikapitalismus	antikapitalizmus
hrana	antikatolicismus	antikatolicizmus
hrana	antiklerikalismus	antiklerikalizmus
hrana	antikolonialismus	antikolonializmus
