*slova podobně krátká jako rodič, ale začínají na jiné písmeno
*jedna skupina: seznam hran, které vypadají vachrlatě
*přebývá hrana	zkoumané slovo	roidč
přebývá hrana	údržba	udržovat
přebývá hrana	zjednodušit	jednoduchý
přebývá hrana	zdvojnásobit	dvojnásobný
přebývá hrana	zdálky	dálka
přebývá hrana	udat	dát
přebývá hrana	údaj	udat
přebývá hrana	úděl	udělit
přebývá hrana	zděř	díra
přebývá hrana	ďoura	díra
přebývá hrana	odiv	divit
přebývá hrana	ďouče	dívka
přebývá hrana	vzdychat	dechnout
přebývá hrana	záducha	dýchat
přebývá hrana	neděle	dělat
přebývá hrana	pondělí	neděle
přebývá hrana	jammovat	džemovat
přebývá hrana	najamovat	jammovat
přebývá hrana	odjamovat	jammovat
přebývá hrana	zajamovat	jammovat
přebývá hrana	jamovat	džemovat
přebývá hrana	jam	džem
přebývá hrana	gentlemansky	džentlmenský
přebývá hrana	gentlemanský	džentlmenský
přebývá hrana	gentlemanství	džentlmenský
přebývá hrana	gentlemanův	džentlmenův
přebývá hrana	gentleman	džentlmen
přebývá hrana	gentry	džentry
přebývá hrana	jazzový	džezový
přebývá hrana	jazzově	džezový
přebývá hrana	jazz	džez
přebývá hrana	jazzman	džezman
přebývá hrana	jazzovat	džezovat
přebývá hrana	gin	džin
přebývá hrana	judistka	džudista
přebývá hrana	judistův	džudista
přebývá hrana	judo	džudo
přebývá hrana	juice	džus
přebývá hrana	ampír	empir
přebývá hrana	estetizmus	aesthetický
přebývá hrana	estetizovat	aesthetický
přebývá hrana	estetično	aesthetický
přebývá hrana	estetičnost	aesthetický
přebývá hrana	estét	aesthetický
přebývá hrana	éticky	ethicky
přebývá hrana	étickost	ethický
přebývá hrana	étický	ethický
přebývá hrana	étos	ethos
přebývá hrana	matfyz	fyzikální
přebývá hrana	physiologie	fyziologie
přebývá hrana	ohanbí	hanba
přebývá hrana	nahašovat	hashovat
přebývá hrana	zhašovat	hashovat
přebývá hrana	storka	historka
přebývá hrana	zhlaví	hlava
přebývá hrana	nadhled	hledět
přebývá hrana	ohlédat	hledět
přebývá hrana	podhled	hledět
přebývá hrana	shlížet	hledět
přebývá hrana	vhlížet	hledět
přebývá hrana	úhledný	hledět
přebývá hrana	ohlušit	hluchý
přebývá hrana	dohmat	hmatat
přebývá hrana	úhyb	uhýbat
přebývá hrana	ohnat	hnát
přebývá hrana	uhnat	hnát
přebývá hrana	úhona	uhnat
přebývá hrana	nehoda	hodit
přebývá hrana	pohoda	hodit
přebývá hrana	úhoz	uhodit
přebývá hrana	vhod	hodit
přebývá hrana	zhola	holý
přebývá hrana	shůry	hora
přebývá hrana	pohov	hovět
přebývá hrana	úhrabek	hrabat
přebývá hrana	úhrada	uhradit
přebývá hrana	vyhrkat	hrknout
přebývá hrana	úhrn	hrnout
přebývá hrana	úhrnem	hrnout
přebývá hrana	zhruba	hrubý
přebývá hrana	zhusta	hustý
přebývá hrana	úhyn	uhynout
přebývá hrana	ohyzdný	hyzdit
přebývá hrana	záhada	hádat
přebývá hrana	grivna	hřivna
přebývá hrana	naistalovat	instalovat
přebývá hrana	kominterna	internacionál
přebývá hrana	zjara	jaro
přebývá hrana	vjedno	jeden
přebývá hrana	zjednostranit	jednostranný
přebývá hrana	pojezný	jezdit
přebývá hrana	újezd	ujet
přebývá hrana	najevo	jevit
přebývá hrana	zjevný	jevit
přebývá hrana	zjista	jistý
přebývá hrana	zjitra	jitro
přebývá hrana	vnímat	jímat
přebývá hrana	snímat	jmout
přebývá hrana	újma	ujmout
přebývá hrana	džob	job
přebývá hrana	žokejův	jockeyův
přebývá hrana	žokej	jockey
přebývá hrana	žokejka	jockey
přebývá hrana	chunta	junta
přebývá hrana	sníst	jíst
přebývá hrana	obchod	chodit
přebývá hrana	ochoz	chodit
přebývá hrana	vohoz	ochoz
přebývá hrana	pochozí	chodit
přebývá hrana	causa	kauza
přebývá hrana	pokřik	křičet
přebývá hrana	quipu	kipu
přebývá hrana	poklesat	klesnout
přebývá hrana	poklek	klečet
přebývá hrana	úklid	uklidit
přebývá hrana	úklon	uklonit
přebývá hrana	prokluz	klouzat
přebývá hrana	poklus	klusat
přebývá hrana	úklad	ukládat
přebývá hrana	ouklad	úklad
přebývá hrana	coca	koka
přebývá hrana	okolí	kolo
přebývá hrana	vůkolí	okolí
přebývá hrana	subkompakt	kompaktní
přebývá hrana	příkon	konat
přebývá hrana	zákon	konat
přebývá hrana	úkon	konat
přebývá hrana	podkop	kopat
přebývá hrana	příkop	kopat
přebývá hrana	pokos	kosit
přebývá hrana	opřekot	překotný
přebývá hrana	okounět	koukat
přebývá hrana	předkus	kousat
přebývá hrana	okusit	kousnout
přebývá hrana	podkres	kreslit
přebývá hrana	pokrm	krmit
přebývá hrana	úkrojek	ukrojit
přebývá hrana	úkrok	ukročit
přebývá hrana	zákruta	kroutit
přebývá hrana	skruž	kruh
přebývá hrana	vskrytu	skrývat
přebývá hrana	úkryt	ukrýt
přebývá hrana	odjinad	jinudy
přebývá hrana	cumulus	kumulovat
přebývá hrana	quasar	kvazar
přebývá hrana	quasimonopolní	kvazimonopolní
přebývá hrana	quasiscanner	kvaziskener
přebývá hrana	nákyp	kypět
přebývá hrana	úkaz	ukázat
přebývá hrana	zkazka	kázat
přebývá hrana	enkodér	kódovat
přebývá hrana	zakýhat	kejhat
přebývá hrana	dokřupava	křoupavý
přebývá hrana	doléhat	lehnout
přebývá hrana	naléhat	lehnout
přebývá hrana	podléhat	lehnout
přebývá hrana	nocleh	ležet
přebývá hrana	zlíhat	léhat
přebývá hrana	zlehka	lehko
přebývá hrana	úlek	uleknout
přebývá hrana	polep	lepit
přebývá hrana	úlet	uletět
přebývá hrana	slevit	levný
přebývá hrana	vlevo	levý
přebývá hrana	zleva	levý
přebývá hrana	přelud	loudit
přebývá hrana	záludný	loudit
přebývá hrana	koželuh	louhovat
přebývá hrana	palouk	louka
přebývá hrana	zálusk	louskat
přebývá hrana	nerozlučný	rozloučit
přebývá hrana	nerozlučitelnost	rozloučitelnost
přebývá hrana	neslučitelnost	sloučitelnost
přebývá hrana	úsloví	slovit
přebývá hrana	úlovek	ulovit
přebývá hrana	úložné	uložit
přebývá hrana	úložní	uložit
přebývá hrana	úlomek	ulomit
přebývá hrana	úlisný	lísat
přebývá hrana	omak	makat
přebývá hrana	zmála	málo
přebývá hrana	rozmar	mařit
přebývá hrana	omastek	mastný
přebývá hrana	zmdlet	mdlít
přebývá hrana	pomíjet	minout
přebývá hrana	úmluva	umluvit
přebývá hrana	zmlkat	mlknout
přebývá hrana	umlkat	mlčet
přebývá hrana	zámlka	mlčet
přebývá hrana	zmnohonásobit	mnohonásobný
přebývá hrana	nemoc	moci
přebývá hrana	podmok	mokrý
přebývá hrana	úmoří	moře
přebývá hrana	namrzat	mrznout
přebývá hrana	podmrzlý	mrznout
přebývá hrana	promrzat	mrznout
přebývá hrana	rozmrzat	mrznout
přebývá hrana	umrzat	mrznout
přebývá hrana	poodmykat	odemykat
přebývá hrana	šmejkaný	smýkaný
přebývá hrana	šmejkaně	smýkaný
přebývá hrana	šmejkatelný	smýkatelný
přebývá hrana	šmejkatelně	smýkatelný
přebývá hrana	šmejkávaný	smýkávaný
přebývá hrana	šmejkávaně	smýkávaný
přebývá hrana	šmejkávatelný	smýkávatelný
přebývá hrana	šmejkávatelně	smýkávatelný
přebývá hrana	šmejkat	smykat
přebývá hrana	šmytec	smykat
přebývá hrana	šmýkat	smykat
přebývá hrana	zúmysla	oumysl
přebývá hrana	úmysl	oumysl
přebývá hrana	úmyslný	oumysl
přebývá hrana	omáčka	máčet
přebývá hrana	podmet	metat
přebývá hrana	přemet	metat
přebývá hrana	zmísta	místo
přebývá hrana	směr	mířit
přebývá hrana	omyl	mýlit
přebývá hrana	rozměr	měřit
přebývá hrana	úměra	měřit
přebývá hrana	úmor	umořit
přebývá hrana	smrt	mřít
přebývá hrana	umrlý	mřít
přebývá hrana	úmrtí	umřít
přebývá hrana	uvnitř	nitro
přebývá hrana	vnitřek	uvnitř
přebývá hrana	zvnitřka	vnitřek
přebývá hrana	dovnitř	vnitro
přebývá hrana	zevnitř	vnitro
přebývá hrana	odnož	noha
přebývá hrana	únožka	unožit
přebývá hrana	znuzit	nuzný
přebývá hrana	ponurý	nořit
přebývá hrana	znáhla	náhlý
přebývá hrana	stonásob	násobit
přebývá hrana	podnos	nosit
přebývá hrana	únos	unést
přebývá hrana	únosce	unést
přebývá hrana	únosný	unést
přebývá hrana	snížit	nízký
přebývá hrana	ňáký	nějaký
přebývá hrana	jinud	odkud
přebývá hrana	vodkuď	odkud
přebývá hrana	zohavit	ohavný
přebývá hrana	vůkol	okolo
přebývá hrana	vůsmý	osmý
přebývá hrana	vostro	ostrý
přebývá hrana	zostra	ostrý
přebývá hrana	naotvírat	odevírat
přebývá hrana	votvírací	odevírací
přebývá hrana	votvírající	odevírající
