*slova podobně krátká jako rodič, ale začínají na jiné písmeno
*jedna skupina: seznam hran, které vypadají vachrlatě
*přebývá hrana	zkoumané slovo	roidč
přebývá hrana	svléci	vléct
přebývá hrana	uvléci	vléct
přebývá hrana	přívlač	vláčet
přebývá hrana	zvnějška	vnějšek
přebývá hrana	brabčák	vrabec
přebývá hrana	rapa	vrap
přebývá hrana	raper	vrap
přebývá hrana	zvraskalý	svraskat
přebývá hrana	svršky	vrchní
přebývá hrana	navýšit	vysoký
přebývá hrana	povýšit	vysoký
přebývá hrana	zvýšit	vysoký
přebývá hrana	ovzduší	vzduch
přebývá hrana	souvztažný	vztahovat
přebývá hrana	navzájem	vzájemný
přebývá hrana	brát	vzít
přebývá hrana	obrat	brát
přebývá hrana	ubrat	brát
přebývá hrana	úběr	ubrat
přebývá hrana	zrovnovážit	rovnovážný
přebývá hrana	úvaha	uvážit
přebývá hrana	podvaz	odvázat
přebývá hrana	provaz	vázat
přebývá hrana	úvaz	uvázat
přebývá hrana	úvazek	uvázat
přebývá hrana	obvod	vést
přebývá hrana	úvod	uvést
přebývá hrana	úvodce	uvést
přebývá hrana	sprovodit	provázet
přebývá hrana	psovod	vodit
přebývá hrana	povoz	vozit
přebývá hrana	povíc	více
přebývá hrana	důvěra	věřit
přebývá hrana	úvěr	věřit
přebývá hrana	odvíjet	vinout
přebývá hrana	vodpovědění	odpovězení
přebývá hrana	vodpověděný	odpovězený
přebývá hrana	vodpověděně	odpovězený
přebývá hrana	zevšad	všade
přebývá hrana	zvolna	volno
přebývá hrana	dycky	vždycky
přebývá hrana	viska	whisky
přebývá hrana	pozdvihat	zdvihnout
přebývá hrana	emzák	mimozemšťan
přebývá hrana	ozim	zima
přebývá hrana	význam	znamení
přebývá hrana	uznat	znát
přebývá hrana	nazrzlý	zerzavý
přebývá hrana	žunknutí	zunknout
přebývá hrana	žunknutý	zunknout
přebývá hrana	žunknuvší	zunknout
přebývá hrana	pozved	zvednout
přebývá hrana	pozvedat	zvednout
přebývá hrana	vyzvedat	zvednout
přebývá hrana	ozvat	zvát
přebývá hrana	věstový	zvěstovat
přebývá hrana	vzad	záda
přebývá hrana	zezad	vzad
přebývá hrana	pozítřejší	zejtřejší
přebývá hrana	pozor	zřít
přebývá hrana	obzor	zírat
přebývá hrana	Assam	Ásám
přebývá hrana	epeirský	Épeiros
přebývá hrana	oud	úd
přebývá hrana	ouklej	úklej
přebývá hrana	oukol	úkol
přebývá hrana	oukrop	úkrop
přebývá hrana	oul	úl
přebývá hrana	ourok	úrok
přebývá hrana	oustně	ústně
přebývá hrana	outlý	útlý
přebývá hrana	outle	útle
přebývá hrana	ouvoz	úvoz
přebývá hrana	ouzký	úzký
přebývá hrana	ouzce	úzce
přebývá hrana	ouzko	úzko
přebývá hrana	oučel	účel
přebývá hrana	oučet	účet
přebývá hrana	dozúčtovat	součtovat
přebývá hrana	pozúčtovat	součtovat
přebývá hrana	zúčtovávací	součtovávat
přebývá hrana	zúčtovávaný	součtovávat
přebývá hrana	zúčtovávaně	součtovávat
přebývá hrana	zúčtovávat	součtovávat
přebývá hrana	zúčtovávání	součtovávat
přebývá hrana	uzúčtovací	součtovat
přebývá hrana	uzúčtovaný	součtovat
přebývá hrana	uzúčtovaně	součtovat
přebývá hrana	uzúčtovat	součtovat
přebývá hrana	uzúčtování	součtovat
přebývá hrana	zazúčtovat	součtovat
přebývá hrana	zúčtovací	součtovat
přebývá hrana	zúčtovaný	součtovat
přebývá hrana	zúčtovaně	součtovat
přebývá hrana	zúčtovat	součtovat
přebývá hrana	zúčtovatel	součtovat
přebývá hrana	zúčtovavší	součtovat
přebývá hrana	zúčtování	součtovat
přebývá hrana	dočkat	čekat
přebývá hrana	počkat	čekat
přebývá hrana	sečkat	čekat
přebývá hrana	vyčkat	čekat
přebývá hrana	pačesy	česat
přebývá hrana	příčes	česat
přebývá hrana	účes	česat
přebývá hrana	náčiní	činit
přebývá hrana	součin	činit
přebývá hrana	účin	učinit
přebývá hrana	účinný	učinit
přebývá hrana	účinek	činit
přebývá hrana	učinkovávanost	oučinkovávaný
přebývá hrana	účinkovávanost	oučinkovávaný
přebývá hrana	účinkovávaně	oučinkovávaný
přebývá hrana	učinkovávatelnost	oučinkovávatelný
přebývá hrana	účinkovávatelnost	oučinkovávatelný
přebývá hrana	účinkovávatelně	oučinkovávatelný
přebývá hrana	vyčárat	čmárat
přebývá hrana	účaří	čmára
přebývá hrana	štyry	čtyři
přebývá hrana	štyryadvacetkrát	čtyřiadvacetkrát
přebývá hrana	štyrycet	čtyřicet
přebývá hrana	štyrykrát	čtyřikrát
přebývá hrana	účast	část
přebývá hrana	zčista	čistý
přebývá hrana	očurat	čůrat
přebývá hrana	luďák	ľudový
přebývá hrana	rečický	Řečice
přebývá hrana	úřad	řád
přebývá hrana	ouřad	úřad
přebývá hrana	ouřada	úřada
přebývá hrana	poříz	řezat
přebývá hrana	ořvat	řvát
přebývá hrana	uřvat	řvát
přebývá hrana	neřku	říct
přebývá hrana	rčení	říct
přebývá hrana	uříci	říct
přebývá hrana	zříci	říct
přebývá hrana	výrok	říci
přebývá hrana	zřídka	řídký
přebývá hrana	všanc	šance
přebývá hrana	shaker	šejkr
přebývá hrana	nešika	šikovný
přebývá hrana	obšírný	široký
přebývá hrana	našíř	šíře
přebývá hrana	ošklíbat	šklebit
přebývá hrana	ušklíbat	šklebit
přebývá hrana	úškleb	šklebit
přebývá hrana	voškrabávající	oškrabovávající
přebývá hrana	příškvar	škvařit
přebývá hrana	nášlap	šlápnout
přebývá hrana	sešup	šoupat
přebývá hrana	našpicovat	špiclovat
přebývá hrana	našpulit	špoulit
přebývá hrana	sešpulit	špoulit
přebývá hrana	sprušle	šprusel
přebývá hrana	uštvat	štvát
přebývá hrana	oštěpek	štípat
přebývá hrana	štyřka	čtyrka
přebývá hrana	štírka	čtyrka
přebývá hrana	štírčin	čtyrka
přebývá hrana	úštěp	štěpit
přebývá hrana	pošuk	šukat
přebývá hrana	nešvar	švarný
přebývá hrana	doštochat	šťouchat
přebývá hrana	naštochat	šťouchat
přebývá hrana	oštochat	šťouchat
přebývá hrana	uštochat	šťouchat
přebývá hrana	vyštochat	šťouchat
přebývá hrana	zaštochat	šťouchat
přebývá hrana	Genéve	Ženeva
přebývá hrana	úžas	užasnout
přebývá hrana	ožrat	žrát
přebývá hrana	užrat	žrát
