*opuštěná slova končící na 'čko' nebo 'ček'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	korbáček	korba
chybí hrana	kosateček	kosatka
chybí hrana	kostýmeček	kostým
chybí hrana	koumáček	koumák
chybí hrana	koupáníčko	koupání
chybí hrana	kouseček	kousek
chybí hrana	kousíneček	kousínek
chybí hrana	koutníček	koutní
chybí hrana	kovbojíček	kovboj
chybí hrana	kozlíček	kozlí
chybí hrana	kozáček	kozák
chybí hrana	krejzlíček	krejzl
chybí hrana	kriplíček	kripl
chybí hrana	krmeníčko	krmení
chybí hrana	kroječek	kroj
chybí hrana	krosček	kros
chybí hrana	kruháček	kruh
chybí hrana	krémíček	krém
chybí hrana	kulturáček	kulturák
chybí hrana	kultíček	kult
chybí hrana	kupéčko	kupé
chybí hrana	kupíčko	kup
chybí hrana	kvítečko	kvítek
chybí hrana	kvítíčko	kvítí
chybí hrana	kápéčko	kápo
chybí hrana	kátéčko	kát
chybí hrana	káčko	ká
chybí hrana	křeslíčko	křeslo
chybí hrana	křeček	křeč
chybí hrana	křižníček	křižník
chybí hrana	kříženeček	kříženka
chybí hrana	labuťáček	labuť
chybí hrana	lahváček	lahváč
chybí hrana	lajblíček	lajblík
chybí hrana	laníčko	laní
chybí hrana	latéčko	lata
chybí hrana	lechtáníčko	lechtání
chybí hrana	lejníčko	lejno
chybí hrana	lesňáček	lesoň
chybí hrana	letadlíčko	letadlo
chybí hrana	leváček	lev
chybí hrana	libeček	libo
chybí hrana	likérníček	likérník
chybí hrana	litříček	litřík
chybí hrana	lomcováček	lomcovák
chybí hrana	lomeček	lom
chybí hrana	lordíček	lord
chybí hrana	losováníčko	losování
chybí hrana	loupeníčko	loupení
chybí hrana	luštěníčko	luštění
chybí hrana	lysáček	lyse
chybí hrana	lyžáček	lyžák
chybí hrana	lázeňáček	lázeň
chybí hrana	létečko	léta
chybí hrana	létéčko	léta
chybí hrana	lítečko	lít
chybí hrana	madlíčko	madlo
chybí hrana	mazáníčko	mazání
chybí hrana	medovníček	medovník
chybí hrana	metráček	metr
chybí hrana	milovníček	milovník
chybí hrana	miminečko	mimino
chybí hrana	mindráček	mindrák
chybí hrana	mistříček	mistřík
chybí hrana	mlsáníčko	mlsání
chybí hrana	mlýneček	mlýn
chybí hrana	modroočko	modro
chybí hrana	mopslíček	mopsl
chybí hrana	moureček	mour
chybí hrana	moříčko	moře
chybí hrana	mrazáček	mrazák
chybí hrana	mraček	mrak
chybí hrana	mučedníček	mučedník
chybí hrana	máječek	máje
chybí hrana	májíček	máj
chybí hrana	máček	mák
chybí hrana	mýdelníček	mýdelník
chybí hrana	nachlazeníčko	nachlazení
chybí hrana	naděleníčko	nadělení
chybí hrana	nafťáček	nafťák
chybí hrana	nakladatelstvíčko	nakladatelství
chybí hrana	namlouváníčko	namlouvání
chybí hrana	narkosáček	narkosa
chybí hrana	narozeníčko	narození
chybí hrana	nazouváček	nazouvák
chybí hrana	nedopatřeníčko	nedopatření
chybí hrana	nedoplateček	nedoplatek
chybí hrana	nešťastníček	nešťastník
chybí hrana	nikláček	nikl
chybí hrana	ničeníčko	ničení
chybí hrana	nocležníček	nocležník
chybí hrana	nuláček	nulák
chybí hrana	nábojíček	náboj
chybí hrana	náhubeček	náhubek
chybí hrana	nájmíček	nájem
chybí hrana	nápadníček	nápadník
chybí hrana	nárazníček	nárazník
chybí hrana	nároďáček	nároďák
chybí hrana	následníček	následník
chybí hrana	návštěvníček	návštěvní
chybí hrana	náčiníčko	náčiní
chybí hrana	náčrtníček	náčrtník
chybí hrana	nýtovníček	nýtovník
chybí hrana	obalíček	obal
chybí hrana	oblečeníčko	oblečení
chybí hrana	obrubníček	obrubník
chybí hrana	obviněníčko	obvinění
chybí hrana	obytňáček	obytňák
chybí hrana	občasníček	občasník
chybí hrana	občerstveníčko	občerstvení
chybí hrana	ochotníček	ochotník
chybí hrana	ochuceníčko	ochucení
chybí hrana	odstíneček	odstín
chybí hrana	oholeníčko	oholení
chybí hrana	opalováníčko	opalování
