*geografické pojmy začínající velkým písmenem, které mají identické slovo v derinetu začínající malým písmenem a nejsou k sobě připojeni
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	End	end
chybí hrana	Ermitáž	ermitáž
chybí hrana	Etiopie	etiopie
chybí hrana	Etno	etno
chybí hrana	Fachwerk	fachwerk
chybí hrana	Falc	falc
chybí hrana	Fana	fana
chybí hrana	Filipíny	filipíny
chybí hrana	Fils	fils
chybí hrana	Fišpanka	fišpanka
chybí hrana	Fojtka	fojtka
chybí hrana	Fortna	fortna
chybí hrana	Fořt	fořt
chybí hrana	Gate	gate
chybí hrana	Granik	granik
chybí hrana	Grant	grant
chybí hrana	Greenfield	greenfield
chybí hrana	Greyhound	greyhound
chybí hrana	Grunt	grunt
chybí hrana	Grúň	grúň
chybí hrana	Guinea	guinea
chybí hrana	Gulag	gulag
chybí hrana	Günz	günz
chybí hrana	Habřina	habřina
chybí hrana	Habří	habří
chybí hrana	Hajany	hajany
chybí hrana	Hall	hall
chybí hrana	Halže	halže
chybí hrana	Ham	ham
chybí hrana	Hamada	hamada
chybí hrana	Hammond	hammond
chybí hrana	Hamr	hamr
chybí hrana	Harfa	harfa
chybí hrana	Havírna	havírna
chybí hrana	Hájek	hájek
chybí hrana	Háj	háj
chybí hrana	Hazard	hazard
chybí hrana	Hať	hať
chybí hrana	Hejtman	hejtman
chybí hrana	Helikonie	helikonie
chybí hrana	Helm	helm
chybí hrana	Heptarchie	heptarchie
chybí hrana	Herink	herink
chybí hrana	Hidalgo	hidalgo
chybí hrana	Hlavice	hlavice
chybí hrana	Hlemýždí	hlemýždí
chybí hrana	Hliniště	hliniště
chybí hrana	Hlinka	hlinka
chybí hrana	Hlohovec	hlohovec
chybí hrana	Hluk	hluk
chybí hrana	Hláska	hláska
chybí hrana	Hlásnice	hlásnice
chybí hrana	Hlína	hlína
chybí hrana	Hnojník	hnojník
chybí hrana	Hole	hole
chybí hrana	Holenice	holenice
chybí hrana	Holice	holice
chybí hrana	Holič	holič
chybí hrana	Holubice	holubice
chybí hrana	Homole	homole
chybí hrana	Homolka	homolka
chybí hrana	Horka	horka
chybí hrana	Horka	horka
chybí hrana	Hornice	hornice
chybí hrana	Hostinka	hostinka
chybí hrana	Houska	houska
chybí hrana	Hovězí	hovězí
chybí hrana	Hořepník	hořepník
chybí hrana	Hrabice	hrabice
chybí hrana	Hrabství	hrabství
chybí hrana	Hrabůvka	hrabůvka
chybí hrana	Hracholusky	hracholusky
chybí hrana	Hrachovec	hrachovec
chybí hrana	Hrachoviště	hrachoviště
chybí hrana	Hradec	hradec
chybí hrana	Hradisko	hradisko
chybí hrana	Hradiště	hradiště
chybí hrana	Hrkáč	hrkáč
chybí hrana	Hrob	hrob
chybí hrana	Hromnice	hromnice
chybí hrana	Hromovka	hromovka
chybí hrana	Hruštice	hruštice
chybí hrana	Hrádek	hrádek
chybí hrana	Hrádeček	hrádeček
chybí hrana	Huari	huari
chybí hrana	Hudson	hudson
chybí hrana	Husle	husle
chybí hrana	Hučák	hučák
chybí hrana	Huť	huť
chybí hrana	Hvozd	hvozd
chybí hrana	Hvízdalka	hvízdalka
chybí hrana	Hvězda	hvězda
chybí hrana	Hydra	hydra
chybí hrana	Hájenka	hájenka
chybí hrana	Hřebenice	hřebenice
chybí hrana	Hřebčí	hřebčí
chybí hrana	Hřiště	hřiště
chybí hrana	Hříběcí	hříběcí
chybí hrana	Hříště	hříště
chybí hrana	Hůrka	hůrka
chybí hrana	Ingenium	ingenium
chybí hrana	Invalidovna	invalidovna
chybí hrana	Ismáílíja	ismáílíja
chybí hrana	Jalovec	jalovec
chybí hrana	Jam	jam
chybí hrana	Jamnice	jamnice
chybí hrana	Jamník	jamník
chybí hrana	Jandovka	jandovka
chybí hrana	Jantra	jantra
chybí hrana	Javor	javor
chybí hrana	Javorovec	javorovec
chybí hrana	Javoří	javoří
chybí hrana	Javůrek	javůrek
chybí hrana	Jedlina	jedlina
chybí hrana	Jehnice	jehnice
chybí hrana	Jelenec	jelenec
chybí hrana	Jelenice	jelenice
chybí hrana	Jelení	jelení
chybí hrana	Jesenec	jesenec
chybí hrana	Jeseň	jeseň
chybí hrana	Jestřabí	jestřabí
chybí hrana	Jez	jez
chybí hrana	Jezero	jezero
chybí hrana	Ječmeniště	ječmeniště
chybí hrana	Jeřice	jeřice
chybí hrana	Jilmoví	jilmoví
chybí hrana	Jizbice	jizbice
chybí hrana	Juan	juan
chybí hrana	Jura	jura
chybí hrana	Jílovec	jílovec
chybí hrana	Jíloviště	jíloviště
chybí hrana	Kagan	kagan
chybí hrana	Kal	kal
chybí hrana	Kala	kala
chybí hrana	Kalba	kalba
chybí hrana	Kaliště	kaliště
chybí hrana	Kalmar	kalmar
chybí hrana	Kalpa	kalpa
chybí hrana	Kama	kama
chybí hrana	Kamenec	kamenec
chybí hrana	Kamení	kamení
