*podstatná jména končící na 'ista' bez rodiče
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	slávista	sláv
chybí hrana	sobotista	sobota
chybí hrana	sociálfašista	fašista
chybí hrana	sociálšovinista	šovinista
chybí hrana	socrealista	socrealismus
chybí hrana	softwarista	software
chybí hrana	sonografista	sonograf
chybí hrana	spoluprokurista	prokurista
chybí hrana	spoluscénárista	scénárista
chybí hrana	starobuddhista	buddhista
chybí hrana	staroklubista	klubista
chybí hrana	starokomunista	komunista
chybí hrana	staroslávista	slávista
chybí hrana	starosurrealista	surrealista
chybí hrana	starotankista	tankista
chybí hrana	staroutrakvista	utrakvista
chybí hrana	suprematista	suprematismus
chybí hrana	sólofagotista	fagotista
chybí hrana	súfista	súfismus
chybí hrana	technologista	technolog
chybí hrana	trapista	trap
chybí hrana	trecentista	trecento
chybí hrana	typista	typ
chybí hrana	ugrofinista	ugrofinistika
chybí hrana	ukulelista	ukulele
chybí hrana	ultrakomunista	komunista
chybí hrana	vaudevillista	vaudeville
chybí hrana	vedutista	veduta
chybí hrana	videožurnalista	videožurnalistika
chybí hrana	virválista	virvál
chybí hrana	vizualista	vizualismus
chybí hrana	višnuista	višnuismus
chybí hrana	vulkanista	vulkanismus
chybí hrana	weltschmerzista	weltschmerz
chybí hrana	zenbuddhista	zenbuddhismus
chybí hrana	čechocentrista	čechocentrismus
chybí hrana	šivaista	šivaismus
chybí hrana	šprýmista	šprým
chybí hrana	švandista	švanda
*
*nenalezen předek
chybí hrana	adoptacionista
chybí hrana	afrocentrista
chybí hrana	amigista
chybí hrana	anacionalista
chybí hrana	analista
chybí hrana	anarchokomunista
chybí hrana	animalkulista
chybí hrana	antibufonista
chybí hrana	arkanista
chybí hrana	artilerista
chybí hrana	benthamista
chybí hrana	bhagwanista
chybí hrana	blanquista
chybí hrana	bloggista
chybí hrana	boccista
chybí hrana	bodyartista
chybí hrana	bollandista
chybí hrana	brnkálista
chybí hrana	buffonista
chybí hrana	bukinista
chybí hrana	canyonista
chybí hrana	conquista
chybí hrana	diurnista
chybí hrana	druholigista
chybí hrana	eqilibrista
chybí hrana	espiritista
chybí hrana	eurospecialista
chybí hrana	evropanista
chybí hrana	familista
chybí hrana	fanfarista
chybí hrana	fashionista
chybí hrana	generativista
chybí hrana	giordanista
chybí hrana	girondista
chybí hrana	graffista
chybí hrana	grosista
chybí hrana	guesdista
chybí hrana	hamasista
chybí hrana	herbarista
chybí hrana	hermesianista
chybí hrana	hébertista
chybí hrana	izoseista
chybí hrana	joachymista
chybí hrana	kemalista
chybí hrana	kognitivista
chybí hrana	komaditista
chybí hrana	komanditista
chybí hrana	konkretista
chybí hrana	labourista
chybí hrana	lefebvrista
chybí hrana	lepenista
chybí hrana	lokalista
chybí hrana	lyceista
chybí hrana	martinézista
chybí hrana	meliorista
chybí hrana	modalista
chybí hrana	mortikalista
chybí hrana	mpadista
chybí hrana	multiistrumentalista
chybí hrana	nabista
chybí hrana	nefigurativista
chybí hrana	neobehaviorista
chybí hrana	neogaullista
chybí hrana	neomahdista
chybí hrana	nobelista
chybí hrana	okťabrista
chybí hrana	optometrista
chybí hrana	originalista
chybí hrana	ortoptista
chybí hrana	ovista
chybí hrana	ovulista
chybí hrana	parfumerista
chybí hrana	pasionista
chybí hrana	pentekostalista
chybí hrana	pikardista
chybí hrana	preraffaelista
chybí hrana	profesionista
chybí hrana	proficyklista
chybí hrana	prvoligista
chybí hrana	punknacista
chybí hrana	quattrista
chybí hrana	rabulista
chybí hrana	reconquista
chybí hrana	redemptorista
chybí hrana	regentorista
chybí hrana	repealista
chybí hrana	rizalista
chybí hrana	rugbista
chybí hrana	rustikalista
chybí hrana	rychlokarikaturista
chybí hrana	rádobyavantgardista
chybí hrana	samplista
chybí hrana	sandinista
chybí hrana	sebeočista
chybí hrana	secesionista
chybí hrana	semifinalista
chybí hrana	senderista
chybí hrana	slovinista
chybí hrana	sofsemista
chybí hrana	sufražista
chybí hrana	tabletenista
chybí hrana	televangelista
chybí hrana	tolkienista
chybí hrana	tradeunionista
chybí hrana	tradicionista
chybí hrana	tritagonista
chybí hrana	ufoturista
chybí hrana	ultrakvista
chybí hrana	urbarialista
chybí hrana	velkodrogista
chybí hrana	verbista
chybí hrana	vichista
chybí hrana	vikarista
chybí hrana	xBasista
chybí hrana	zviadista
chybí hrana	čalfista
chybí hrana	čtvrtfinalista
chybí hrana	čutálista
