*přídavná jména končící na 'ův', která nejsou připojena ke slovu mužského rodu
*varianta	zkoumané slovo	nalezené slovo
špatný rod rodiče	pyrotechnikův	pyrotechnika
špatný rod rodiče	tatův	tata
špatný rod rodiče	Šporkův	Šporka
špatný rod rodiče	Štolův	Štola
špatný rod rodiče	Šutkův	Šutka
špatný rod rodiče	ožralkův	ožralka
špatný rod rodiče	vyžírkův	vyžírka
*
*rodič a slovo jsou vzdáleně příbuzní
chybí hrana	Abelův	Abel
chybí hrana	Artusův	Artus
chybí hrana	australopitekův	australopitek
chybí hrana	Becketův	Becket
chybí hrana	benjamínův	benjamín
chybí hrana	benjamínkův	benjamínek
chybí hrana	Chazbulatovův	Chazbulatov
chybí hrana	Churchilův	Churchil
chybí hrana	Dobiášův	Dobiáš
chybí hrana	Drákulův	Drákula
chybí hrana	Eliotův	Eliot
chybí hrana	Ezopův	Ezop
chybí hrana	Helmutův	Helmut
chybí hrana	Homérův	Homér
chybí hrana	Händlův	Händel
chybí hrana	Jachymův	Jachym
chybí hrana	Jakobsonův	Jakobson
chybí hrana	Jozefův	Jozef
chybí hrana	Juliánův	Julián
chybí hrana	Kaizerův	Kaizer
chybí hrana	Karmazinův	Karmazin
chybí hrana	Keizerův	Keizer
chybí hrana	Lobkowitzův	Lobkowitz
chybí hrana	McDonaldův	McDonald
chybí hrana	Mohamedův	Mohamed
chybí hrana	Oskarův	Oskar
chybí hrana	Pézlův	Pézl
chybí hrana	Spieglův	Spiegel
chybí hrana	Tadeusův	Tadeus
chybí hrana	Tréglův	Trégl
chybí hrana	Viktorův	Viktor
chybí hrana	Vizigótův	Vizigót
chybí hrana	Werflův	Werfel
chybí hrana	boxerův	boxer
chybí hrana	lamův	lama
chybí hrana	lámův	láma
chybí hrana	hanbářův	hanbář
chybí hrana	přejímatelův	přejímatel
chybí hrana	carabinierův	carabinier
chybí hrana	kohnův	kohen
chybí hrana	mopsův	mops
chybí hrana	motýlkářův	motýlkář
chybí hrana	smířitelův	smířitel
chybí hrana	roznášečův	roznášeč
chybí hrana	outsidrův	outsider
chybí hrana	pilníkářův	pilníkář
chybí hrana	pinčův	pinč
chybí hrana	pitbullův	pitbull
chybí hrana	platýsův	platýs
chybí hrana	rejskův	rejsek
chybí hrana	retušérův	retušér
chybí hrana	sluhův	sluha
chybí hrana	snajprův	snajper
chybí hrana	speakrův	speaker
chybí hrana	sršňův	sršeň
chybí hrana	sypánkův	sypánek
chybí hrana	sólistův	sólista
chybí hrana	tříditelův	tříditel
chybí hrana	třídičův	třídič
chybí hrana	veleinkvizitorův	veleinkvizitor
chybí hrana	vulkanizérův	vulkanizér
chybí hrana	vévodův	vévoda
chybí hrana	věrověstův	věrověst
