*osamocená slova končící na 'owský' nebo 'owská'
*nalezeni dva možní rodiče, jeden možný anebo žádný
*
*dva rodiče
*chybí hrana	zkoumané slovo	nalezené slovo'

chybí hrana	Pawlowský	Pavlovský
chybí hrana	Pawlowský	Pawlovský
*
*jeden možný rodič
chybí hrana	Baňkowská	Baňkovská
chybí hrana	Bejkowský	Bejkovský
chybí hrana	Bobrowský	Bobrovský
chybí hrana	Bolkowský	bolkovský
chybí hrana	Chelkowský	Chelkovský
chybí hrana	Chrzanowský	Chrzanovský
chybí hrana	Dankowský	Dankovský
chybí hrana	Dobrowský	Dobrovský
chybí hrana	Dybowský	Dybovský
chybí hrana	Frankowský	frankovský
chybí hrana	Gebarowský	Gebarovský
chybí hrana	Golasowská	Golasovská
chybí hrana	Jakobowský	Jakobovský
chybí hrana	Jakubowský	Jakubovský
chybí hrana	Jankowský	Jankovský
chybí hrana	Jankulowský	Jankulovský
chybí hrana	Janowský	Janovský
chybí hrana	Kalinowský	Kalinovský
chybí hrana	Komorowský	Komorovský
chybí hrana	Kosowský	kosovský
chybí hrana	Kozlowská	Kozlovská
chybí hrana	Krulikowský	Krulikovský
chybí hrana	Krumlowský	krumlovský
chybí hrana	Kurowský	Kurovský
chybí hrana	Landowský	Landovský
chybí hrana	Laskowský	Laskovský
chybí hrana	Leskowský	Leskovský
chybí hrana	Lichnowský	Lichnovský
chybí hrana	Lipowský	Lipovský
chybí hrana	Lisowský	Lisovský
chybí hrana	Lorkowský	lorkovský
chybí hrana	Lubowský	Lubovský
chybí hrana	Lukowský	Lukovský
chybí hrana	Mackowský	Mackovský
chybí hrana	Makowský	Makovský
chybí hrana	Malachowský	Malachovský
chybí hrana	Malinowský	Malinovský
chybí hrana	Michalowský	Michalovský
chybí hrana	Mitrowský	Mitrovský
chybí hrana	Olechowský	Olechovský
chybí hrana	Orlowský	Orlovský
chybí hrana	Pavlowská	Pavlovská
chybí hrana	Pawlikowský	Pavlikovský
chybí hrana	Piotrowský	Piotrovský
chybí hrana	Pižanowský	Pižanovský
chybí hrana	Poniatowský	Poniatovský
chybí hrana	Radkowský	Radkovský
chybí hrana	Rakowský	Rakovský
chybí hrana	Romanowský	Romanovský
chybí hrana	Ronowský	Ronovský
chybí hrana	Rostowský	rostovský
chybí hrana	Rudowský	Rudovský
chybí hrana	Rutkowský	Rutkovský
chybí hrana	Sadowský	Sadovský
chybí hrana	Sladkowská	Sladkovská
chybí hrana	Sokolowský	Sokolovský
chybí hrana	Stachowský	Stachovský
chybí hrana	Stankowský	Stankovský
chybí hrana	Szymanowský	Szymanovský
chybí hrana	Tolkowský	Tolkovský
chybí hrana	Tranowský	Tranovský
chybí hrana	Turnowský	turnovský
chybí hrana	Twardowský	Tvardovský
chybí hrana	Třanowský	Třanovský
chybí hrana	Waňkowská	Waňkovská
chybí hrana	Zukowský	Zukovský
chybí hrana	bukowský	bukovský
chybí hrana	Šenowský	Šenovský
*
*rodič nenalezen
chybí hrana	Abramowský
chybí hrana	Arlamowský
chybí hrana	Baczkowský
chybí hrana	Baranowský
chybí hrana	Bentkowský
chybí hrana	Bialkowský
chybí hrana	Bledowský
chybí hrana	Bobkowský
chybí hrana	Bokanowský
chybí hrana	Bortnowský
chybí hrana	Bratkowský
chybí hrana	Bryczkowský
chybí hrana	Budischowský
chybí hrana	Cendrowský
chybí hrana	Cieślikowská
chybí hrana	Czachowská
chybí hrana	Czekanowský
chybí hrana	Drewnowský
chybí hrana	Dunikowský
chybí hrana	Dziekanowský
chybí hrana	Dąbrowská
chybí hrana	Fedorowský
chybí hrana	Fialkowský
chybí hrana	Ficowský
chybí hrana	Fijalkowská
chybí hrana	Frajkowská
chybí hrana	Gibowský
chybí hrana	Gintrowský
chybí hrana	Golebiowský
chybí hrana	Golodkowský
chybí hrana	Goluchowský
chybí hrana	Gradowský
chybí hrana	Grybowská
chybí hrana	Grzybowská
chybí hrana	Irzykowský
chybí hrana	Jamiolkowský
chybí hrana	Janikowský
chybí hrana	Jasinowský
chybí hrana	Jedrychowský
chybí hrana	Jedrzejkowský
chybí hrana	Jedrzejowská
chybí hrana	Jurzykowský
chybí hrana	Jędrzejowská
chybí hrana	Kaldowský
chybí hrana	Kapkowský
chybí hrana	Kidrowský
chybí hrana	Kiedrowský
chybí hrana	Kiešlowský
chybí hrana	Klingowský
chybí hrana	Kokowský
chybí hrana	Kolakowský
chybí hrana	Kosidowský
chybí hrana	Koszowský
chybí hrana	Krukowský
chybí hrana	Królikowská
chybí hrana	Kulakowský
chybí hrana	Kuligowská
chybí hrana	Kułakowská
chybí hrana	Kwiatkowský
chybí hrana	Kłoskowská
chybí hrana	Lagowský
chybí hrana	Lebowský
chybí hrana	Ledworowský
chybí hrana	Liwowský
chybí hrana	Lomanowský
chybí hrana	Lutkowský
chybí hrana	Mankowský
chybí hrana	Maslowská
chybí hrana	Masłowská
chybí hrana	Matkowský
chybí hrana	Michałowská
chybí hrana	Milczanowský
chybí hrana	Minkowský
chybí hrana	Misiorowský
chybí hrana	Namyslowský
chybí hrana	Nałkowská
chybí hrana	Ossendowský
chybí hrana	PIžanowský
chybí hrana	Pajonkowský
chybí hrana	Palowská
chybí hrana	Parandowský
chybí hrana	Pasikowský
chybí hrana	Piaskowský
chybí hrana	Piatkowský
chybí hrana	Pietrowská
chybí hrana	Pijarowský
chybí hrana	Pinkowský
chybí hrana	Pitkowský
chybí hrana	Piwowský
chybí hrana	Polanowský
chybí hrana	Pomianowský
chybí hrana	Pruszkowský
chybí hrana	Przymanowský
chybí hrana	Pszczołowská
chybí hrana	Rogowský
chybí hrana	Rostenkowský
chybí hrana	Roszkowská
chybí hrana	Rumkowský
chybí hrana	Rybkowský
chybí hrana	Rzepkowský
chybí hrana	Sakowský
chybí hrana	Sakulowský
chybí hrana	Salwarowský
chybí hrana	Sapkowský
chybí hrana	Schabowský
chybí hrana	Sebekowský
chybí hrana	Sekowský
chybí hrana	Siatkowský
chybí hrana	Siemiatkowský
chybí hrana	Sikorowský
chybí hrana	Skaldanowský
chybí hrana	Skladanowský
chybí hrana	Sklodowský
chybí hrana	Skoldowský
chybí hrana	Skolimowský
chybí hrana	Smalkowský
chybí hrana	Sosabowský
chybí hrana	Stelmachowský
chybí hrana	Stempowský
chybí hrana	Stokowský
chybí hrana	Stryjkowský
chybí hrana	Szeligowský
chybí hrana	Szurkowský
chybí hrana	Szypowský
chybí hrana	Tejkowský
chybí hrana	Trowský
chybí hrana	Trzanowský
chybí hrana	Tymkowský
chybí hrana	Waciakowský
chybí hrana	Waldowský
chybí hrana	Wašniowský
chybí hrana	Wesolowský
chybí hrana	Wierzbowský
chybí hrana	Witkowský
chybí hrana	Wojciechowský
chybí hrana	Wojkowský
chybí hrana	Wojtkowský
chybí hrana	Wolodyjowský
chybí hrana	Wostrowská
chybí hrana	Wyszkowský
chybí hrana	Zaborowský
chybí hrana	Zawichowský
chybí hrana	Zelikowský
chybí hrana	Zerkowský
chybí hrana	Ziolkowský
chybí hrana	Ziólkowský
chybí hrana	Zurakowský
chybí hrana	Zymankowský
chybí hrana	czenstochowský
chybí hrana	namyslowský
chybí hrana	tomaszowský
chybí hrana	wiatowský
chybí hrana	wschowský
chybí hrana	Žuchowský
