*opuštěná slova končící na 'vka', 'čka', 'nka', 'žka', 'ka'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Jasenka	Jasen
chybí hrana	Javorka	Javora
chybí hrana	Jenka	Jena
chybí hrana	Jesika	Jesi
chybí hrana	Jessika	Jessi
chybí hrana	Jestřábka	Jestřáb
chybí hrana	Jetelka	Jetel
chybí hrana	Jezerka	Jezero
chybí hrana	Jiruška	Jiruš
chybí hrana	Jičínka	Jičín
chybí hrana	Jordánka	Jordán
chybí hrana	Jovka	Jov
chybí hrana	Jutka	Jut
chybí hrana	Kabardinka	Kabardino
chybí hrana	Kajetánka	Kajetán
chybí hrana	Kalinovka	Kalinovo
chybí hrana	Kalka	Kal
chybí hrana	Kamenka	Kamen
chybí hrana	Kamínka	Kamín
chybí hrana	Kanapka	Kanap
chybí hrana	Kaolinka	Kaolina
chybí hrana	Kaplanka	Kaplan
chybí hrana	Karlovka	Karlov
chybí hrana	Kartouzka	Kartouzy
chybí hrana	Kasanka	Kasan
chybí hrana	Kačabka	Kačab
chybí hrana	Kačenka	Kačena
chybí hrana	Kačka	Kača
chybí hrana	Kašperka	Kašper
chybí hrana	Kaštanka	Kaštan
chybí hrana	Kerka	Ker
chybí hrana	Klapůvka	Klapův
chybí hrana	Klenovka	Klenov
chybí hrana	Kláska	Klása
chybí hrana	Kocianka	Kocian
chybí hrana	Kohútka	Kohút
chybí hrana	Kotka	Kot
chybí hrana	Koudelka	Koudela
chybí hrana	Kouřimka	Kouřim
chybí hrana	Košatka	Košata
chybí hrana	Kratochvilka	Kratochvil
chybí hrana	Krounka	Krouna
chybí hrana	Krupka	Krupa
chybí hrana	Královka	Králov
chybí hrana	Kuchařka	Kuchař
chybí hrana	Kunka	Kun
chybí hrana	Kyselka	Kysela
chybí hrana	Kyčerka	Kyčera
chybí hrana	Ladronka	Ladron
chybí hrana	Lanka	Lane
chybí hrana	Latinka	Latin
chybí hrana	Leka	Le
chybí hrana	Leontýnka	Leontýna
chybí hrana	Lhotka	Lhota
chybí hrana	Lhůtka	Lhůta
chybí hrana	Libišanka	Libišany
chybí hrana	Libochovka	Libochov
chybí hrana	Libušinka	Libušin
chybí hrana	Lidmaňka	Lidmaň
chybí hrana	Lika	Li
chybí hrana	Likavka	Likava
chybí hrana	Lilianka	Lilian
chybí hrana	Lilka	Lily
chybí hrana	Lipanka	Lipany
chybí hrana	Lipovka	Lipov
chybí hrana	Lonka	Lon
chybí hrana	Louka	Lou
chybí hrana	Lubinka	Lubin
chybí hrana	Luka	Lu
chybí hrana	Lukáška	Lukáš
chybí hrana	Machůvka	Machův
chybí hrana	Mahdalka	Mahdal
chybí hrana	Malakka	Malaki
chybí hrana	Malenka	Malen
chybí hrana	Malika	Mali
chybí hrana	Manganka	Mangan
chybí hrana	Manka	Man
chybí hrana	Marciška	Marciš
chybí hrana	Marika	Mari
chybí hrana	Marička	Marič
chybí hrana	Marka	Mar
chybí hrana	Markovka	Markov
chybí hrana	Marlenka	Marlen
chybí hrana	Marunka	Maruna
chybí hrana	Maryka	Mary
chybí hrana	Maryška	Maryša
chybí hrana	Mattonka	Mattoni
chybí hrana	Mazanka	Mazan
chybí hrana	Mekka	Meky
chybí hrana	Metujka	Metuje
chybí hrana	Mikulovka	Mikulov
chybí hrana	Mikulůvka	Mikulův
chybí hrana	Milenka	Milena
chybí hrana	Militka	Milito
chybí hrana	Milířka	Milíře
chybí hrana	Miriamka	Miriam
chybí hrana	Mlýnka	Mlýn
chybí hrana	Mnichovka	Mnichov
chybí hrana	Moravka	Morava
chybí hrana	Motka	Mota
chybí hrana	Mrázovka	Mrázov
chybí hrana	Mílka	Míl
chybí hrana	Mínka	Mína
chybí hrana	Mírovka	Mírov
chybí hrana	Mýtinka	Mýtina
chybí hrana	Mýtka	Mýto
chybí hrana	Nanka	Nano
chybí hrana	Nemilanka	Nemilany
chybí hrana	Nemilka	Nemile
chybí hrana	Nikolajka	Nikolaj
chybí hrana	Nikolka	Nikol
chybí hrana	Nisanka	Nisan
chybí hrana	Nohýlka	Nohýl
chybí hrana	Nouzka	Nouza
chybí hrana	Oborka	Obora
chybí hrana	Oluška	Oluša
chybí hrana	Olšanka	Olšany
chybí hrana	Olšinka	Olšiny
chybí hrana	Osečanka	Osečany
chybí hrana	Oslavka	Oslava
chybí hrana	Otmanka	Otman
chybí hrana	Paka	Pa
chybí hrana	Palmovka	Palmov
chybí hrana	Pařezovka	Pařezov
chybí hrana	Pecka	Pec
chybí hrana	Perlinka	Perlini
chybí hrana	Petrovanka	Petrovany
chybí hrana	Petrovka	Petrov
chybí hrana	Petruška	Petruš
chybí hrana	Petrůvka	Petrův
chybí hrana	Petržalka	Petržala
chybí hrana	Pirka	Piro
chybí hrana	Podlužanka	Podlužany
chybí hrana	Poličanka	Poličany
chybí hrana	Polka	Polo
chybí hrana	Polomka	Polom
chybí hrana	Popelka	Popel
chybí hrana	Porubka	Poruba
chybí hrana	Prochorovka	Prochorov
chybí hrana	Pyšelka	Pyšely
chybí hrana	Pšovka	Pšov
chybí hrana	Rakovka	Rakov
chybí hrana	Rakůvka	Rakův
chybí hrana	Ratka	Rat
chybí hrana	Raška	Raš
chybí hrana	Rašovka	Rašov
chybí hrana	Rebekka	Rebeka
chybí hrana	Rejčka	Rejč
chybí hrana	Rika	Ri
chybí hrana	Rivka	Riva
chybí hrana	Rohovka	Rohov
chybí hrana	Rosička	Rosič
chybí hrana	Roubalka	Roubal
chybí hrana	Rouchovanka	Rouchovany
chybí hrana	Rudka	Ruda
chybí hrana	Rudovka	Rudov
chybí hrana	Ryšavka	Ryšava
chybí hrana	Sarka	Sar
chybí hrana	Satka	Sata
chybí hrana	Saška	Saša
chybí hrana	Sedlčanka	Sedlčany
chybí hrana	Seffka	Seff
chybí hrana	Silvinka	Silvin
chybí hrana	Silvánka	Silván
chybí hrana	Skaličanka	Skaličan
chybí hrana	Skalka	Skala
chybí hrana	Slatinka	Slatina
chybí hrana	Slobodanka	Slobodan
chybí hrana	Smržovka	Smržov
chybí hrana	Stalinka	Stalin
chybí hrana	Stellinka	Stellin
chybí hrana	Sulka	Sula
chybí hrana	Terka	Ter
chybí hrana	Tinka	Tina
chybí hrana	Tobolka	Tobola
chybí hrana	Topolanka	Topolany
chybí hrana	Trusovka	Trusovo
chybí hrana	Tuka	Tu
chybí hrana	Tullamorka	Tullamore
chybí hrana	Turovka	Turov
chybí hrana	Tuřanka	Tuřany
chybí hrana	Tylovka	Tylov
chybí hrana	Tynka	Tyne
chybí hrana	Tyrolka	Tyroly
chybí hrana	Třebýcinka	Třebýcina
chybí hrana	Ugrofinka	Ugrofin
chybí hrana	Uherka	Uher
chybí hrana	Umka	Uma
chybí hrana	Unaka	Una
chybí hrana	Unika	Uni
chybí hrana	Unionka	Union
chybí hrana	Urgermánka	Urgermán
chybí hrana	Uruguayka	Uruguay
chybí hrana	Valenciánka	Valencián
chybí hrana	Vanka	Van
chybí hrana	Vavřinečka	Vavřineč
chybí hrana	Velenka	Velen
chybí hrana	Velička	Veliče
chybí hrana	Velkoruska	Velkorus
chybí hrana	Vendka	Vend
chybí hrana	Veselka	Vesel
chybí hrana	Veškrnka	Veškrna
chybí hrana	Vidnavka	Vidnava
chybí hrana	Vitiška	Vitiš
chybí hrana	Vladka	Vlad
chybí hrana	Vlámka	Vlám
chybí hrana	Vodňanka	Vodňany
chybí hrana	Vondráška	Vondráš
chybí hrana	Vršovka	Vršov
chybí hrana	Vítovka	Vítov
chybí hrana	Věrovanka	Věrovany
chybí hrana	Waka	Wa
chybí hrana	Warka	Ware
chybí hrana	Zanzibarka	Zanzibar
chybí hrana	Zavadilka	Zavadil
chybí hrana	Zdeninka	Zdenin
chybí hrana	Zuávka	Zuáv
chybí hrana	Zásadka	Zásada
chybí hrana	abaka	aba
chybí hrana	airdalka	airdale
chybí hrana	amarelka	amarela
chybí hrana	anatomka	anatom
chybí hrana	andělka	anděl
chybí hrana	archandělka	archanděl
chybí hrana	autodidaktka	autodidakt
chybí hrana	bagelka	bagel
chybí hrana	brokařka	brokař
chybí hrana	cyklomaratónka	cyklomaratón
chybí hrana	debrujárka	debrujár
chybí hrana	devaterka	devatero
chybí hrana	devětadevadesátka	devětadevadesát
chybí hrana	devětapadesátka	devětapadesát
chybí hrana	devětašedesátka	devětašedesát
chybí hrana	diabolka	diabolo
chybí hrana	diákonka	diákon
chybí hrana	dobrotka	dobrota
chybí hrana	drbka	drb
chybí hrana	dvaadevadesátka	dvaadevadesát
chybí hrana	dvaaosmdesátka	dvaaosmdesát
chybí hrana	dvaapůlka	dvaapůl
chybí hrana	dvaasedmdesátka	dvaasedmdesát
chybí hrana	dvaašedesátka	dvaašedesát
chybí hrana	dvacetpětka	dvacetpět
chybí hrana	dvanáctikolka	dvanáctikolo
chybí hrana	dvanáctka	dvanáct
chybí hrana	dvěstěpadesátka	dvěstěpadesát
chybí hrana	elementaristka	elementarista
chybí hrana	ereska	ereso
chybí hrana	exstarostka	exstarosta
chybí hrana	fatka	fata
chybí hrana	filetka	filet
chybí hrana	finálka	finále
chybí hrana	flexaretka	flexaret
chybí hrana	hnětačka	hnětač
chybí hrana	institutka	institut
chybí hrana	jedenadevadesátka	jedenadevadesát
chybí hrana	jedenaosmdesátka	jedenaosmdesát
chybí hrana	jedenapadesátka	jedenapadesát
chybí hrana	jedenapůlka	jedenapůl
chybí hrana	jedenasedmdesátka	jedenasedmdesát
chybí hrana	jedenašedesátka	jedenašedesát
chybí hrana	jedenáctka	jedenáct
chybí hrana	kalhotka	kalhoty
chybí hrana	kantka	kant
chybí hrana	karbolka	karbol
chybí hrana	kartonážka	kartonáž
chybí hrana	kartónka	kartón
chybí hrana	katůvka	katův
chybí hrana	kelka	kel
chybí hrana	kilnerka	kilner
chybí hrana	kobka	kobo
chybí hrana	kometka	kometa
chybí hrana	komiska	komise
chybí hrana	koučka	kouč
chybí hrana	krémovka	krémovo
chybí hrana	kýlka	kýl
chybí hrana	ledka	led
chybí hrana	mokřinka	mokřina
chybí hrana	moreska	mores
chybí hrana	nicka	nic
chybí hrana	nulka	nula
chybí hrana	obligátka	obligát
chybí hrana	odborka	odbor
chybí hrana	opletka	oplet
chybí hrana	opálka	opál
chybí hrana	osmadevadesátka	osmadevadesát
chybí hrana	osmaosmdesátka	osmaosmdesát
chybí hrana	osmapadesátka	osmapadesát
chybí hrana	osmasedmdesátka	osmasedmdesát
chybí hrana	osmašedesátka	osmašedesát
chybí hrana	osvěžovačka	osvěžovač
chybí hrana	pairka	pair
chybí hrana	pardálka	pardál
chybí hrana	parka	par
