*opuštěná slova končící na 'ost'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
*
*nalezen předek
chybí hrana	Bašardost	Bašarí
chybí hrana	Jasnost	Jasný
chybí hrana	Milhost	Milý
chybí hrana	božkost	boží
chybí hrana	božnost	boží
chybí hrana	donosnost	donosný
chybí hrana	držebnost	držební
chybí hrana	dvojpost	dvojí
chybí hrana	spříbuzněnost	spříbuznění
chybí hrana	vedlejšnost	vedlejší
chybí hrana	vezdejšnost	vezdejší
chybí hrana	vyhovujícnost	vyhovující
chybí hrana	zevnějškost	zevnější
chybí hrana	šikmolícnost	šikmolícní
chybí hrana	živorodnost	živorodý
*
*nenalezen předek
chybí hrana	Znouzecnost
chybí hrana	anormálnost
chybí hrana	aplikabilnost
chybí hrana	areflexivnost
chybí hrana	asenzibilnost
chybí hrana	asenzitivnost
chybí hrana	asenzuálnost
chybí hrana	audiovlastnost
chybí hrana	chrápavost
chybí hrana	dlouhohlavost
chybí hrana	dvoujedinnost
chybí hrana	exelentnost
chybí hrana	izofunkčnost
chybí hrana	jemnozrnitost
chybí hrana	konsenkventnost
chybí hrana	kontradičnost
chybí hrana	krátkohlavost
chybí hrana	kuklorodost
chybí hrana	mezipokost
chybí hrana	mnohojmennost
chybí hrana	mnohomocnost
chybí hrana	mravopočesnost
chybí hrana	neobmezitelnost
chybí hrana	neperzistentnost
chybí hrana	neprůletnost
chybí hrana	nopkovitost
chybí hrana	pannobřeznost
chybí hrana	penetrabilnost
chybí hrana	polotvarost
chybí hrana	prolnavost
chybí hrana	prvobliznost
chybí hrana	prvoprašnost
chybí hrana	pěnězchtivost
chybí hrana	roupovitost
chybí hrana	rozbřídavost
chybí hrana	různosklonnost
chybí hrana	sebeumírněnost
chybí hrana	slepicovost
chybí hrana	soutvarost
chybí hrana	spolupodřazenost
chybí hrana	stejnolistost
chybí hrana	stejnoplodost
chybí hrana	tukovzdornost
chybí hrana	tukuvzdornost
chybí hrana	udržlivost
chybí hrana	umdlenost
chybí hrana	veleúzkost
chybí hrana	velešpatnost
chybí hrana	videorychlost
chybí hrana	videoschopnost
chybí hrana	vláčkovitost
chybí hrana	vodochvost
chybí hrana	vyhnalost
chybí hrana	vyssávanost
chybí hrana	výmelnost
chybí hrana	ziskužádost
chybí hrana	zlatochvost
chybí hrana	znamenavost
chybí hrana	zprotivilost
chybí hrana	zpřejnost
chybí hrana	úvěrohodnost
chybí hrana	Bohemiafrost
chybí hrana	Džangídost
chybí hrana	Slovakofrost
chybí hrana	biobudoucnost
chybí hrana	chabozrakost
chybí hrana	dvojznámost
chybí hrana	dvojúrovnost
chybí hrana	dvouprofesnost
chybí hrana	dvouúrovnost
chybí hrana	fasádovitost
chybí hrana	jednodimenznost
chybí hrana	letadlovitost
chybí hrana	nehynoucnost
chybí hrana	oboupólnost
chybí hrana	pravdověrnost
chybí hrana	promístnost
chybí hrana	předrost
chybí hrana	rýhovitost
chybí hrana	sebetvořivost
chybí hrana	stejnopodmětovost
chybí hrana	supožravost
chybí hrana	supravodivodivost
chybí hrana	tirádovitost
chybí hrana	ubědovanost
chybí hrana	veleskvost
chybí hrana	veleušlechtilost
chybí hrana	videonevolnost
chybí hrana	výkonuschopnost
chybí hrana	všehojnost
chybí hrana	zkratuvzdornost
chybí hrana	šidivost
chybí hrana	štěbětavost
chybí hrana	cykloudálost
chybí hrana	dvojkolenost
chybí hrana	dvojkulturnost
chybí hrana	dýmivost
chybí hrana	elektročinnost
chybí hrana	formulkovitost
chybí hrana	mnohopolohovost
chybí hrana	nadúčelovost
chybí hrana	podposloupnost
chybí hrana	potroublost
chybí hrana	přirůstavost
chybí hrana	rovnodušnost
chybí hrana	sebeznalost
chybí hrana	spolupatričnost
chybí hrana	subkontrárnost
chybí hrana	zaprdnutost
chybí hrana	časuvzdornost
chybí hrana	cyklopříležitost
chybí hrana	sebesoudnost
chybí hrana	sebezamilovanost
chybí hrana	spolučinnost
chybí hrana	sprostořekost
chybí hrana	dvojpolnost
chybí hrana	různočnělečnost
chybí hrana	velkospolečnost
chybí hrana	dvojvztažnost
chybí hrana	dvoutvárnost
chybí hrana	figurkovitost
chybí hrana	fotovodivost
chybí hrana	nasákovost
chybí hrana	náročivost
chybí hrana	obrázkovitost
chybí hrana	odbíhavost
chybí hrana	sebespravedlnost
chybí hrana	spolupůsobnost
chybí hrana	radostivost
chybí hrana	sebedůstojnost
chybí hrana	dlouhozrakost
chybí hrana	dvojbytost
chybí hrana	dírkovitost
chybí hrana	slučivost
chybí hrana	videospolečnost
chybí hrana	neodpustitelnost
chybí hrana	přírost
chybí hrana	zatižitelnost
chybí hrana	žánrovitost
chybí hrana	osobivost
chybí hrana	Železnomost
chybí hrana	bělokrevnost
chybí hrana	motoličnatost
chybí hrana	sebespokojenost
chybí hrana	pufrovitost
chybí hrana	propitvanost
chybí hrana	smrštivost
chybí hrana	obourukost
chybí hrana	strannost
chybí hrana	nekvalitnost
chybí hrana	sebeodpovědnost
chybí hrana	Babimost
chybí hrana	nasáklivost
chybí hrana	blogpost
chybí hrana	spoluhost
chybí hrana	znovuhratelnost
chybí hrana	svalovčitost
chybí hrana	sebevážnost
chybí hrana	multizávislost
chybí hrana	soumeznost
chybí hrana	sebepochybnost
chybí hrana	chladuvzdornost
chybí hrana	soběpodobnost
chybí hrana	Bifrost
chybí hrana	podujatost
chybí hrana	kontrapost
chybí hrana	špinivost
chybí hrana	Moraviafrost
chybí hrana	nadrzlost
chybí hrana	sebezkušenost
