*opuštěná slova končící na 'ař'
*tři skupiny: nalezený rodič, který je častější než nalezené slovo, nalezený rodič, který je méně častý než nalezené slovo, nenalezen rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	středoproudař	středoproudý
chybí hrana	střevař	střevo
chybí hrana	subkomisař	subkomise
chybí hrana	subtextař	subtext
chybí hrana	sudař	sud
chybí hrana	sušař	suše
chybí hrana	svrabař	svrab
chybí hrana	svrškař	svršek
chybí hrana	sítař	sít
chybí hrana	síťkař	síťka
chybí hrana	tangař	tango
chybí hrana	topkař	topka
chybí hrana	travař	travé
chybí hrana	traťař	trať
chybí hrana	trendař	trend
chybí hrana	trenkař	trenky
chybí hrana	trávař	tráva
chybí hrana	vachař	vacha
chybí hrana	vachtař	vachta
chybí hrana	vanař	vana
chybí hrana	vatař	vata
chybí hrana	vestař	vesta
chybí hrana	vinklař	vinkl
chybí hrana	vinotékař	vinotéka
chybí hrana	vlakař	vlak
chybí hrana	vlasař	vlas
chybí hrana	vlečkař	vlečka
chybí hrana	vláknař	vlákno
chybí hrana	vodkař	vodka
chybí hrana	vrhař	vrh
chybí hrana	vrátkař	vrátka
chybí hrana	vsázkař	vsázka
chybí hrana	vtipař	vtip
chybí hrana	vtipkař	vtipek
chybí hrana	vzduchař	vzduch
chybí hrana	vzorkař	vzorek
chybí hrana	vážkař	vážka
chybí hrana	vědař	věda
chybí hrana	ymkař	ymka
chybí hrana	zdrojař	zdroj
chybí hrana	zmetkař	zmetek
chybí hrana	zmijař	zmije
chybí hrana	znělkař	znělka
chybí hrana	zvonkař	zvonek
chybí hrana	zámkař	zámek
chybí hrana	áčkař	áčko
chybí hrana	Čižmař	čižma
chybí hrana	Čmuchař	Čmucha
chybí hrana	Čížmař	Čížek
chybí hrana	čajař	čaj
chybí hrana	čerpař	čerp
chybí hrana	četkař	četka
chybí hrana	článkař	článek
chybí hrana	čtvrtstovkař	čtvrtstovka
chybí hrana	čtyřicítkař	čtyřicítka
chybí hrana	čárkař	čárka
chybí hrana	čírař	číro
chybí hrana	Římař	Řím
chybí hrana	řízkař	řízek
chybí hrana	Šiftař	Šifta
chybí hrana	Školař	škola
chybí hrana	Štětař	štět
chybí hrana	Štětkař	Štětka
chybí hrana	šestibojař	šestiboj
chybí hrana	šestistovkař	šestistovka
chybí hrana	šestkař	šestka
chybí hrana	škrobař	škrob
chybí hrana	škvárař	škvára
chybí hrana	šlichtař	šlichta
chybí hrana	šméčkař	šméčko
chybí hrana	šmírař	šmíra
chybí hrana	šnorchlař	šnorchl
chybí hrana	šrotař	šrot
chybí hrana	štěrkař	štěrk
chybí hrana	šumař	šum
chybí hrana	šátkař	šátek
chybí hrana	šídlař	šídlo
chybí hrana	šípkař	šípek
chybí hrana	šístkař	šístka
chybí hrana	žinkař	žinka
*
*méně častý předek
chybí hrana	Bidař	Bida
chybí hrana	Blanař	Blan
chybí hrana	Budař	Buda
chybí hrana	Chmelař	Chmela
chybí hrana	Hrobař	Hrob
chybí hrana	Hutař	Huta
chybí hrana	Kalfař	Kalfa
chybí hrana	Kočař	Koča
chybí hrana	Košař	Koša
chybí hrana	Kuchař	Kuch
chybí hrana	Pekař	Peka
