*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	celoústavní
chybí hrana	celoštábní
chybí hrana	celoživotní
chybí hrana	civilněprávní
chybí hrana	civilněsprávní
chybí hrana	církevněprávní
chybí hrana	daňověprávní
chybí hrana	desetidenní
chybí hrana	desetiměsíční
chybí hrana	desetipodlažní
chybí hrana	desetiroční
chybí hrana	desetirychlostní
chybí hrana	desetitýdenní
chybí hrana	desetitřídní
chybí hrana	devadesátidenní
chybí hrana	devadesátidevítidenní
chybí hrana	devadesátipodlažní
chybí hrana	devadesátipětidenní
chybí hrana	devatenáctidenní
chybí hrana	devatenáctiměsíční
chybí hrana	devatenáctipodlažní
chybí hrana	devatenáctitřídní
chybí hrana	devítiapůlměsíční
chybí hrana	devítidenní
chybí hrana	devítilodní
chybí hrana	devítiměsíční
chybí hrana	devítinedělní
chybí hrana	devítinárodnostní
chybí hrana	devítipodlažní
chybí hrana	devítirychlostní
chybí hrana	devítiskalní
chybí hrana	devítitýdenní
chybí hrana	devítitřídní
chybí hrana	devětadvacetidenní
chybí hrana	devětačtyřicetidenní
chybí hrana	dlouhodenní
chybí hrana	dopravněpolicejní
chybí hrana	dopravněsprávní
chybí hrana	druhodivizní
chybí hrana	druhotřídní
chybí hrana	dvaadvacetidenní
chybí hrana	dvaadvacetiměsíční
chybí hrana	dvaadvacetipodlažní
chybí hrana	dvaadvacetitýdenní
chybí hrana	dvaadvacetitřídní
chybí hrana	dvaapadesátidenní
chybí hrana	dvaapůldenní
chybí hrana	dvaapůlměsíční
chybí hrana	dvaasedmdesátidenní
chybí hrana	dvaatřicetidenní
chybí hrana	dvaatřicetiměsíční
chybí hrana	dvaačtyřicetidenní
chybí hrana	dvacetidevítidenní
chybí hrana	dvacetidvouměsíční
chybí hrana	dvacetijednaměsíční
chybí hrana	dvacetikaretní
chybí hrana	dvacetiměsíční
chybí hrana	dvacetinedělní
chybí hrana	dvacetiosmidenní
chybí hrana	dvacetiosmiměsíční
chybí hrana	dvacetipodlažní
chybí hrana	dvacetipětidenní
chybí hrana	dvacetirychlostní
chybí hrana	dvacetisedmidenní
chybí hrana	dvacetitýdenní
chybí hrana	dvacetitřídní
chybí hrana	dvanáctidenní
chybí hrana	dvanáctiměsíční
