*opuštěná slova končící na 'ace'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	videoprezentace	prezentace
chybí hrana	videopublikace	publikace
*
*nenalezen předek
chybí hrana	Accace
chybí hrana	Alsace
chybí hrana	Aquapalace
chybí hrana	Arianespace
chybí hrana	Babyface
chybí hrana	Burjace
chybí hrana	Candace
chybí hrana	Coface
chybí hrana	Deprivace
chybí hrana	Espace
chybí hrana	Grace
chybí hrana	Grace
chybí hrana	Greenpeace
chybí hrana	Hanace
chybí hrana	Ignace
chybí hrana	Interface
chybí hrana	Laplace
chybí hrana	Mace
chybí hrana	Mace
chybí hrana	Maniace
chybí hrana	Pace
chybí hrana	Pace
chybí hrana	Palace
chybí hrana	Prace
chybí hrana	Stavoizolace
chybí hrana	Versace
chybí hrana	Wallace
chybí hrana	abaptace
chybí hrana	abjurace
chybí hrana	abreviace
chybí hrana	abrogace
chybí hrana	adordinace
chybí hrana	agraciace
chybí hrana	agromechanizace
chybí hrana	albitizace
chybí hrana	aliminace
chybí hrana	alitace
chybí hrana	alitizace
chybí hrana	alotransplantace
chybí hrana	altiplanace
chybí hrana	amoxidace
chybí hrana	analgosedace
chybí hrana	apertace
chybí hrana	aprekace
chybí hrana	apropriace
chybí hrana	areace
chybí hrana	asibilace
chybí hrana	asingace
chybí hrana	ateizace
chybí hrana	audioaplikace
chybí hrana	audioeditace
chybí hrana	augmentace
chybí hrana	autofekondace
chybí hrana	autoreenkryptace
chybí hrana	azokopulace
chybí hrana	bankodeputace
chybí hrana	bifurkace
chybí hrana	bioturbace
chybí hrana	brachiace
chybí hrana	braunifikace
chybí hrana	butonizace
chybí hrana	cytodiferenciace
chybí hrana	debelace
chybí hrana	deetetizace
chybí hrana	defekace
chybí hrana	deflagrace
chybí hrana	defuzzifikace
chybí hrana	degazace
chybí hrana	dehungarizace
chybí hrana	deifikace
chybí hrana	dekolorizace
chybí hrana	delace
chybí hrana	demarkace
chybí hrana	denonsace
chybí hrana	depurace
chybí hrana	deputace
chybí hrana	desambiguace
chybí hrana	desertifikace
chybí hrana	deskvamace
chybí hrana	desparace
chybí hrana	deteriolizace
chybí hrana	devaporace
chybí hrana	diatermokoagulace
chybí hrana	diazotace
chybí hrana	dinitrace
chybí hrana	disambiguace
chybí hrana	dishonorace
chybí hrana	disklamace
chybí hrana	diskoformace
chybí hrana	diskoinspirace
chybí hrana	diskokreace
chybí hrana	distonace
chybí hrana	divinace
chybí hrana	dizertace
chybí hrana	dvoumatrace
chybí hrana	eburneace
chybí hrana	eburnifikace
chybí hrana	echolokace
chybí hrana	egutace
chybí hrana	ekoinformace
chybí hrana	ekopublikace
chybí hrana	ekvitace
chybí hrana	elaidinace
chybí hrana	elaidnizace
chybí hrana	elektrografitace
chybí hrana	encystace
chybí hrana	enunciace
chybí hrana	epizace
chybí hrana	estivace
chybí hrana	etiolace
chybí hrana	eurodotace
chybí hrana	eurofizace
chybí hrana	euroobligace
chybí hrana	evalvace
chybí hrana	evaporace
chybí hrana	evapotranspirace
chybí hrana	eviscerace
chybí hrana	exarace
chybí hrana	excindace
chybí hrana	excoriace
chybí hrana	exenterace
chybí hrana	exkavace
chybí hrana	exonerace
chybí hrana	expektace
chybí hrana	expirace
chybí hrana	explanace
chybí hrana	exploitace
chybí hrana	explorace
chybí hrana	exsudace
chybí hrana	extirpace
chybí hrana	extrace
chybí hrana	exudace
chybí hrana	fakoemulzifikace
chybí hrana	fasinace
chybí hrana	feralitizace
chybí hrana	feralizace
chybí hrana	feritizace
chybí hrana	flagelace
chybí hrana	flokulace
chybí hrana	fluidace
chybí hrana	frakcinace
chybí hrana	gazifikace
chybí hrana	gelivace
chybí hrana	gemace
chybí hrana	gratifikace
chybí hrana	gyrifikace
chybí hrana	hemodiafiltrace
chybí hrana	hiporehabilitace
chybí hrana	homonymizace
chybí hrana	homopolymerace
chybí hrana	hydrodelaminace
chybí hrana	hydroformylace
chybí hrana	idioadaptace
chybí hrana	ikorporace
chybí hrana	illace
chybí hrana	illimerizace
chybí hrana	iluviace
chybí hrana	imaginace
chybí hrana	impetiginizace
chybí hrana	imunofenotypizace
chybí hrana	indentifikace
chybí hrana	indeterminace
chybí hrana	inflace
chybí hrana	inkantace
chybí hrana	interface
chybí hrana	interlace
chybí hrana	intermodulace
chybí hrana	invetarizace
chybí hrana	ipsace
chybí hrana	iradiace
chybí hrana	irigace
chybí hrana	isoimunizace
chybí hrana	jurisdikace
chybí hrana	kalmetizace
chybí hrana	kapitace
chybí hrana	kardiostimulace
chybí hrana	kauterizace
chybí hrana	kinofikace
chybí hrana	kjeldahlizace
chybí hrana	klarifikace
chybí hrana	klerace
chybí hrana	koarktace
chybí hrana	kognace
chybí hrana	kolmatace
chybí hrana	komfirmace
chybí hrana	kominace
chybí hrana	komputace
chybí hrana	konciliace
chybí hrana	konflagrace
chybí hrana	kongregace
chybí hrana	kontrapulzace
chybí hrana	konurbace
chybí hrana	konvokace
chybí hrana	koroborace
chybí hrana	kotonizace
chybí hrana	krykonzervace
chybí hrana	kryokonzervace
chybí hrana	kryoplanace
chybí hrana	kryoturbace
chybí hrana	kvazispekulace
chybí hrana	kvintace
chybí hrana	landrace
chybí hrana	lateritizace
chybí hrana	laterizace
chybí hrana	legislace
chybí hrana	libareace
chybí hrana	lunace
chybí hrana	lžiprivatizace
