*osamocené číslovky končící na 'ero', 'erý', 'krát', 'istý'
*nalezený předek
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	šestsetkrát	šestset
chybí hrana	devatenáctistý	sto
chybí hrana	devatenáctistý	devatenáct
chybí hrana	devětapůlkrát	půl
chybí hrana	devětapůlkrát	devět
chybí hrana	dvaapůlmiliónkrát	půlmilión
chybí hrana	dvaapůlmiliónkrát	dvaapůl
chybí hrana	dvaačtvrtkrát	čtvrt
chybí hrana	dvaačtvrtkrát	dva
chybí hrana	dvacetdevětkrát	dvacet
chybí hrana	dvacetdevětkrát	devět
chybí hrana	dvacetitisíckrát	tisíc
chybí hrana	dvacetitisíckrát	dvacet
chybí hrana	dvacetosmkrát	osm
chybí hrana	dvacetosmkrát	dvacet
chybí hrana	dvacetsedmkrát	dvacet
chybí hrana	dvacetsedmkrát	sedm
chybí hrana	dvacettisíckrát	tisíc
chybí hrana	dvacettisíckrát	dvacet
chybí hrana	dvacettřikrát	tři
chybí hrana	dvacettřikrát	dvacet
chybí hrana	dvacetšestkrát	dvacet
chybí hrana	dvacetšestkrát	šest
chybí hrana	dvanáctmiliónkrát	milión
chybí hrana	dvanáctmiliónkrát	dvanáct
chybí hrana	dvatisícekrát	tisíc
chybí hrana	dvatisícekrát	dva
chybí hrana	dvouapůlkrát	dva
chybí hrana	dvouapůlkrát	půl
chybí hrana	dvousetkrát	dva
chybí hrana	dvousetkrát	set
chybí hrana	dvousetmiliónkrát	dva
chybí hrana	dvousetmiliónkrát	milión
chybí hrana	dvousettisíckrát	dva
chybí hrana	dvousettisíckrát	tisíc
chybí hrana	dvoutisíckrát	dva
chybí hrana	dvoutisíckrát	tisíc
chybí hrana	jedenadvacettisíckrát	tisíc
chybí hrana	jedenadvacettisíckrát	jedenadvacet
chybí hrana	jedenapůlmiliónkrát	půlmilión
chybí hrana	jedenapůlmiliónkrát	jedenapůl
chybí hrana	jedenačtvrtkrát	čtvrt
chybí hrana	jedenačtvrtkrát	jeden
chybí hrana	jedenáctitisíckrát	jedenáct
chybí hrana	jedenáctitisíckrát	tisíc
chybí hrana	mnohotisíckrát	tisíc
chybí hrana	mnohotisíckrát	mnoho
chybí hrana	osmapůlkrát	osm
chybí hrana	osmapůlkrát	půl
chybí hrana	osmdesátitisíckrát	osmdesát
chybí hrana	osmdesátitisíckrát	tisíc
chybí hrana	osmistý	sto
chybí hrana	osmistý	osm
chybí hrana	osmitisíckrát	osm
chybí hrana	osmitisíckrát	tisíc
chybí hrana	pětadvacetitisíckrát	pětadvacet
chybí hrana	pětadvacetitisíckrát	tisíc
chybí hrana	pětadvacetmiliónkrát	milión
chybí hrana	pětadvacetmiliónkrát	pětadvacet
chybí hrana	pětapůlkrát	pět
chybí hrana	pětapůlkrát	půl
chybí hrana	pětistý	sto
chybí hrana	pětistý	pět
chybí hrana	pětmiliónkrát	milión
chybí hrana	pětmiliónkrát	pět
chybí hrana	pěttisíckrát	pět
chybí hrana	pěttisíckrát	tisíc
chybí hrana	sedmapůlkrát	půl
chybí hrana	sedmapůlkrát	sedm
chybí hrana	sedmistý	sto
chybí hrana	sedmistý	sedm
chybí hrana	sedmnáctitisíckrát	tisíc
chybí hrana	sedmnáctitisíckrát	sedmnáct
chybí hrana	stodesetkrát	deset
chybí hrana	stodesetkrát	sto
chybí hrana	stodevětatřicetkrát	sto
chybí hrana	stodevětatřicetkrát	devětatřicet
chybí hrana	stodvaatřicetkrát	dvaatřicet
chybí hrana	stodvaatřicetkrát	sto
chybí hrana	stodvaačtyřicetkrát	sto
chybí hrana	stodvaačtyřicetkrát	dvaačtyřicet
chybí hrana	stodvaašedesátkrát	dvaašedesát
chybí hrana	stodvaašedesátkrát	sto
chybí hrana	stodvacetkrát	sto
chybí hrana	stodvacetkrát	dvacet
chybí hrana	stodvacetpětkrát	dvacetpět
chybí hrana	stodvacetpětkrát	sto
chybí hrana	stodvakrát	dva
chybí hrana	stodvakrát	sto
chybí hrana	stojedenadvacetkrát	jedenadvacet
